CAMPUS,BA0GH06N,BA0GM06N,BA0GR06N,BB0GR06N,BH0GR06N,BI0GR06N,BP0GR06N,BPEMALLP,BPERRA1R,BPERRA2R,BPERRA3R,BPERRA4R,BPERRA5R,BPERRA6R,BPERRA7R,BPERRA8R,BPERRAKR,BPERSA1R,BPERSA2R,BPERSA3R,BPERSA4R,BPERSA5R,BPERSA6R,BPERSA7R,BPERSA8R,BPERSAKR,BPETALLC,BPETBILP,BPETBLAP,BPETDISC,BPETDISP,BPETECOP,BPETG01P,BPETG02P,BPETG03P,BPETG04P,BPETG05P,BPETG06P,BPETG07P,BPETG08P,BPETG09P,BPETG10P,BPETG11P,BPETG12P,BPETGEEP,BPETGIFP,BPETGKNP,BPETGPKP,BPETHISP,BPETINDP,BPETLEPP,BPETPACP,BPETRSKP,BPETSPEP,BPETVOCP,BPETWHIP,BS0GR06N,BW0GR06N,CA0GH06N,CA0GM06N,CA0GR06N,CB0GR06N,CH0GR06N,CI0GR06N,CP0GR06N,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETPACC,CPETPACP,CPETRSKC,CPETRSKP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR06N,CW0GR06N
"001902001",4094,1354,5448,379,476,32,143,15.5,.,.,.,.,.,.,2.2,2.6,.,.,.,.,.,.,.,2.5,0,.,28611,1.4,8,1084,3.6,21.3,0,0,0,0,0,0,0.8,0.8,27.5,25.5,23.5,21.8,0,10.3,0,0,11,0.7,1.5,2.7,34.7,11.2,64.3,77.7,567,4418,16,11,27,5,2,0,0,38,20.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,165,0,0,29,17.6,1,0.5,42,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,32.1,37,22.4,28,17,47,28.5,0,0,20,12.1,0,0,0,0,6,3.6,0,0,0,0,1,0.6,62,37.6,29,17.6,84,50.9,129,78.2,1,20
"001902041",0,0,0,0,0,0,0,13.9,.,.,.,0,1.2,0.9,1.5,0.6,.,.,.,.,0,1.1,1.3,1.8,3.1,.,21615,1.2,7.1,397,1.7,28.2,0,0,0,0.7,10.2,25.7,31.7,31.6,0,0,0,0,0,8.7,0,0,10.3,0.6,1.3,1.7,29.6,12.4,10.2,80.2,0,0,0,0,0,0,0,0,0,20,12.4,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,133,2,1.5,18,13.5,1,0.6,53,39.8,0,0,0,0,0,0,0,0,0,0,44,33.1,44,33.1,45,33.8,0,0,0,0,0,0,0,0,0,0,19,14.3,0,0,0,0,8,6,0,0,2,1.5,0,0,27,20.3,20,15,71,53.4,107,80.5,0,0
"001902103",0,0,0,0,0,0,0,14.4,4.1,1.9,0.8,0.7,0.5,0.8,3.2,3.6,2.9,7,3.4,1,1.2,1,0,0,0,13.8,17686,1.4,4.3,43,0.2,25.5,13.4,13.3,16.9,20.5,16.4,3.1,0.4,0.4,0,0,0,0,0.7,6.7,12.1,2.8,7,0.7,1.6,2,21,10.3,0,86.1,0,0,0,0,0,0,0,0,0,54,22,8.1,0,2.6,0,0,.,.,.,0,0,0,0,0,0,.,.,.,16.7,271,3,1.1,19,7,0,0,116,42.8,43,15.9,48,17.7,35,12.9,48,17.7,45,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.5,29,10.7,48,17.7,0,0,15,5.5,0,0,3,1.1,3,1.1,65,24,43,15.9,0,0,234,86.3,0,0
"001903001",2568,1205,3773,137,215,26,19,17.9,.,.,.,.,.,.,1.7,1,.,.,.,.,.,.,.,2.1,0,.,19237,0.6,4.2,756,3.6,26.6,0,0,0,0,0,0,1,1.1,28.8,24.4,23.6,21.1,0,7.1,0,0,6.8,0.7,0.6,0.7,41.2,13.3,75.2,87.6,498,3376,44,37,81,5,1,0,0,82,19.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,361,1,0.3,26,7.2,11,2.6,124,34.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,29.9,95,26.3,81,22.4,77,21.3,0,0,20,5.5,0,0,0,0,14,3.9,0,0,1,0.3,4,1.1,175,48.5,82,22.7,220,60.9,317,87.8,15,75
"001903041",0,0,0,0,0,0,0,15.9,.,.,0.7,0,1.2,1.3,1.6,1,.,.,.,0,0,1.1,1.5,2.4,2.8,.,15493,1.1,6.4,257,1.5,29.8,0,0,0,0,11.9,25.9,31.3,30.8,0,0,0,0,0,9,0,0,8.6,0.6,1.2,1.4,29.6,12.5,6.7,83,0,0,0,0,0,0,0,0,0,55,18.3,.,.,.,.,.,2.7,1.5,0,.,.,.,.,.,.,0,0,0,.,287,2,0.7,30,10.5,6,2,136,47.4,0,0,0,0,0,0,0,0,0,0,108,37.6,91,31.7,88,30.7,0,0,0,0,0,0,0,0,0,0,22,7.7,0,0,0,0,14,4.9,3,1,2,0.7,1,0.3,129,44.9,44,15.3,87,30.3,239,83.3,0,0
"001903101",0,0,0,0,0,0,0,14.2,4.3,1.7,1.1,0.6,1.1,0.8,2.1,0,3.7,6.6,4.5,1.7,1,1.6,0.8,0,0,14.1,19037,1.7,3.9,39,0.2,24.7,13.5,14,16.9,20.8,16.3,3,0.3,0.3,0,0,0,0,0.5,6.7,11.7,2.7,8.8,0.6,1.9,1.9,21.6,10.6,0,84.8,0,0,0,0,0,0,0,0,0,132,24.8,8.1,6.3,0,1.5,0,.,.,.,3.5,8.3,0,0,0,0,.,.,.,23.1,671,6,0.9,56,8.3,0,0,398,59.3,100,14.9,104,15.5,73,10.9,77,11.5,92,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2.4,93,13.9,132,19.7,48,7.2,0,0,6,0.9,0,0,172,25.6,63,9.4,0,0,567,84.5,0,0
"001904001",2154,960,3114,313,208,20,32,17.1,.,.,.,.,.,.,2.2,2.6,.,.,.,.,.,.,.,2.5,0,.,16116,0.9,10,632,3.6,32.4,0,0,0,0,0,0,1.4,1.5,26.7,25.8,22.7,22,0,9,0,0,8.8,0.7,1,1,39.2,14.8,71.8,79.4,430,2541,44,17,61,5,3,0,1,50,18.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,248,3,1.2,38,15.3,4,1.5,117,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,32.7,58,23.4,60,24.2,49,19.8,0,0,24,9.7,0,0,0,0,12,4.8,0,0,3,1.2,2,0.8,104,41.9,45,18.1,197,79.4,196,79,11,52
"001904041",0,0,0,0,0,0,0,15.3,.,.,3.8,0.5,1.9,1.2,2.4,1.3,.,.,.,0,0,1.3,1.5,2,2.2,.,22448,2.4,9.3,509,2.2,31.3,0,0,0,0,7.5,26.3,32.1,32.8,1.2,0,0,0,0,10.3,0,0,15.2,0.6,2.6,2.2,32.3,12.1,12.6,72.7,0,0,0,0,0,0,0,0,0,41,17.3,.,.,.,.,.,2.1,1.9,3.1,.,.,.,.,.,.,0,0,0,.,188,12,6.4,31,16.5,6,2.5,97,51.6,0,0,0,0,0,0,0,0,0,0,54,28.7,69,36.7,65,34.6,0,0,0,0,0,0,0,0,0,0,18,9.6,0,0,0,0,18,9.6,0,0,12,6.4,2,1.1,83,44.1,31,16.5,76,40.4,137,72.9,0,0
"001904102",0,0,0,0,0,0,0,16.8,4.9,2.2,1.6,1.4,1.7,0.2,.,.,4,11,2.6,2,1.3,1.5,0,.,.,12.9,19780,3.2,7.9,15,0.1,32.6,13.9,14.5,17.1,19.2,13.7,3.7,0,0,0,0,0,0,0.5,6.1,13.4,4,10.7,0.6,3.5,2.2,28,10.7,0.3,78.6,0,0,0,0,0,0,0,0,0,58,19.4,4.8,0,2.4,0,4.3,.,.,.,0,0,0,0,0,0,.,.,.,12.5,353,20,5.7,42,11.9,0,0,209,59.2,60,17,50,14.2,54,15.3,51,14.4,56,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6,20,5.7,60,17,20,5.7,31,8.8,0,0,20,5.7,2,0.6,138,39.1,37,10.5,0,0,278,78.8,0,0
"001906002",4605,1656,6261,352,491,27,93,15.3,.,.,.,.,.,.,3.4,0.5,.,.,.,.,.,.,.,5.4,0,.,29649,0.7,5.7,1032,3.2,22.5,0,0,0,0,0,0,0.7,0.7,26.8,25.3,23.6,22.9,0,8.5,0,0,9.3,0.5,0.9,1.4,40.3,12.3,68.7,83.3,728,5298,17,5,22,1,0,0,0,27,16.5,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,0,0,.,138,0,0,14,10.1,6,3.7,46,33.3,0,0,0,0,0,0,0,0,0,0,0,0,20,14.5,22,15.9,35,25.4,30,21.7,16,11.6,15,10.9,0,0,6,4.3,0,0,0,0,9,6.5,0,0,0,0,1,0.7,57,41.3,37,26.8,120,87,114,82.6,4,21
