DISTRICT,DA0GR07N,DA0GR07P,DB0GR07N,DB0GR07P,DH0GR07N,DH0GR07P,DI0GR07N,DI0GR07P,DP0GR07N,DP0GR07P,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETWHIC,DPETWHIP,DS0GR07N,DS0GR07P,DW0GR07N,DW0GR07P
"001902",47,100,11,23.4,2,4.3,0,0,0,0,580,4,0.7,61,10.5,3,0.5,211,36.4,28,4.8,1,0.2,4,0.7,4,0.7,134,23.1,486,83.8,10,21.3,34,72.3
"001903",76,100,4,5.3,0,0,0,0,1,1.3,1375,12,0.9,86,6.3,18,1.2,688,50,101,7.3,3,0.2,12,0.9,6,0.4,514,37.4,1179,85.7,12,15.8,71,93.4
"001904",51,100,6,11.8,3,5.9,0,0,0,0,801,36,4.5,102,12.7,9,1,407,50.8,61,7.6,1,0.1,37,4.6,5,0.6,323,40.3,632,78.9,17,33.3,42,82.4
"001906",15,100,1,6.7,0,0,0,0,0,0,361,5,1.4,37,10.2,1,0.3,121,33.5,23,6.4,0,0,5,1.4,2,0.6,129,35.7,299,82.8,4,26.7,14,93.3
"001907",186,100,59,31.7,42,22.6,1,0.5,3,1.6,3304,316,9.6,1004,30.4,91,2.3,2196,66.5,1049,31.7,6,0.2,337,10.2,36,1.1,1982,60,1209,36.6,31,16.7,81,43.5
"001908",114,100,15,13.2,11,9.6,0,0,0,0,1737,71,4.1,321,18.5,42,2.1,889,51.2,256,14.7,6,0.3,76,4.4,16,0.9,682,39.3,1138,65.5,21,18.4,88,77.2
"001909",27,100,0,0,2,7.4,0,0,0,0,378,1,0.3,5,1.3,5,1.1,196,51.9,12,3.2,0,0,1,0.3,0,0,134,35.4,361,95.5,3,11.1,25,92.6
"002901",206,100,3,1.5,112,54.4,0,0,2,1,3035,232,7.6,66,2.2,67,2.1,1299,42.8,1816,59.8,9,0.3,301,9.9,22,0.7,1228,40.5,1122,37,33,16,89,43.2
"003801",0,.,0,.,0,.,0,.,0,.,313,1,0.3,83,26.5,0,0,185,59.1,42,13.4,1,0.3,1,0.3,4,1.3,96,30.7,183,58.5,0,.,0,.
"003902",125,100,3,2.4,26,20.8,1,0.8,1,0.8,2501,134,5.4,126,5,74,2.7,1305,52.2,472,18.9,10,0.4,147,5.9,32,1.3,665,26.6,1861,74.4,14,11.2,94,75.2
