CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
"057829001"," ","A+ ACADEMY","Y","DALLAS","057","A","A+ ACADEMY","PK - 12","B"," "," ","10"
"109901001","AUVJEWSX","ABBOTT SCHOOL","N","HILL","109","E","ABBOTT ISD","EE - 12","B"," "," ","12"
"095901101","N","ABERNATHY EL","N","HALE","095","R","ABERNATHY ISD","PK - 05","E"," "," ","17"
"095901001","AUVJZ","ABERNATHY H S","N","HALE","095","R","ABERNATHY ISD","09 - 12","S"," "," ","17"
"095901041","AWSX","ABERNATHY J H","N","HALE","095","E","ABERNATHY ISD","06 - 08","M"," "," ","17"
"221901001","U","ABILENE H S","N","TAYLOR","221","A","ABILENE ISD","09 - 12","S"," "," ","14"
"221901129"," ","ABILENE STATE SCH","N","TAYLOR","221","X","ABILENE ISD","04 - 12","B"," "," ","14"
"221901142"," ","ACADIA ABILENE BEHAVIORAL HEALTH","N","TAYLOR","221","X","ABILENE ISD","07 - 11","S"," "," ","14"
"221901102","EWMNX","AUSTIN EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901153","EMNY","BASSETTI EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901103","WMN","BONHAM EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901104","EWMN","BOWIE EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901047","ES","CLACK MIDDLE","N","TAYLOR","221","R","ABILENE ISD","06 - 08","M"," "," ","14"
"221901106","N","COLLEGE HEIGHTS EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901002"," ","COOPER H S","N","TAYLOR","221","A","ABILENE ISD","09 - 12","S"," "," ","14"
"221901048","EWS","CRAIG MIDDLE","N","TAYLOR","221","R","ABILENE ISD","06 - 08","M"," "," ","14"
"221901208"," ","DAY NURSERY OF ABILENE","N","TAYLOR","221","X","ABILENE ISD","PK - PK","E"," "," ","14"
"221901108","EWMNY","DYESS EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901110","AM","FANNIN EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901200"," ","HARMONY FAMILY SERVICES","N","TAYLOR","221","X","ABILENE ISD","03 - 09","B"," "," ","14"
"221901124"," ","HOUSTON STUDENT ACH CTR","N","TAYLOR","221","X","ABILENE ISD","KG - 10","B"," "," ","14"
"221901112","N","JACKSON EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901113","WN","JOHNSTON EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901008","AS","JUVENILE DETENTION CENTER","N","TAYLOR","221","1","ABILENE ISD","06 - 11","B"," "," ","14"
"221901116"," ","LEE EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901117"," ","LOCUST ECC","N","TAYLOR","221","X","ABILENE ISD","EE - PK","E"," "," ","14"
"221901118","N","LONG EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901044","EWS","MADISON MIDDLE","N","TAYLOR","221","R","ABILENE ISD","06 - 08","M"," "," ","14"
"221901045","S","MANN MIDDLE","N","TAYLOR","221","A","ABILENE ISD","06 - 08","M"," "," ","14"
"221901152","WM","ORTIZ EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901120"," ","REAGAN EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901007"," ","TAYLOR COUNTY LEARNING CENTER","N","TAYLOR","221","X","ABILENE ISD","06 - 10","B"," "," ","14"
"221901121","WN","TAYLOR EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901151","NX","THOMAS EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901006"," ","TRAVIS OPPORTUNITY CTR","N","TAYLOR","221","X","ABILENE ISD","07 - 11","S"," "," ","14"
"221901150","EWMNX","WARD EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901003"," ","WOODSON CENTER FOR EXCELLENCE","N","TAYLOR","221","1","ABILENE ISD","09 - 12","S"," "," ","14"
"221901125"," ","WOODSON ECC","N","TAYLOR","221","X","ABILENE ISD","EE - PK","E"," "," ","14"
"014901101","W","ACADEMY EL","N","BELL","014","E","ACADEMY ISD","EE - 04","E"," "," ","12"
"014901001","UVJS","ACADEMY H S","N","BELL","014","R","ACADEMY ISD","09 - 12","S"," "," ","12"
"014901041","EWSZ","ACADEMY J H","N","BELL","014","R","ACADEMY ISD","05 - 08","M"," "," ","12"
"014901042"," ","ACADEMY JJAEP","N","BELL","014","X","ACADEMY ISD","07 - 07","M"," "," ","12"
"101810002"," ","ACADEMY OF ACCELERATED LEARNING","Y","HARRIS","101","R","ACADEMY OF ACCELERATED LEARNING IN","PK - 05","E"," "," ","04"
"123801101","Y","ACADEMY OF BEAUMONT","Y","JEFFERSON","123","A","ACADEMY OF BEAUMONT","PK - 08","E"," "," ","05"
"015816001"," ","ACADEMY OF CAREERS AND TECHNOLOGIE","Y","BEXAR","015","1","ACADEMY OF CAREERS AND TECHNOLOGIE","09 - 12","S"," "," ","20"
"057810101"," ","ACADEMY OF DALLAS","Y","DALLAS","057","L","ACADEMY OF DALLAS","PK - 08","E"," "," ","10"
"101849041","SY","ACCELERATED INT CHARTER SCHOOL","Y","HARRIS","101","A","ACCELERATED INTERMEDIATE ACADEMY","06 - 08","M"," "," ","04"
"101849101"," ","ACCELERATED INTERDISCIPLINARY ACAD","Y","HARRIS","101","A","ACCELERATED INTERMEDIATE ACADEMY","PK - 05","E"," "," ","04"
"180903001","RVWS","ADRIAN SCHOOL","N","OLDHAM","180","E","ADRIAN ISD","PK - 12","B"," "," ","16"
"178901101","A","AGUA DULCE ELEMENTARY SCHOOL","N","NUECES","178","A","AGUA DULCE ISD","PK - 05","E"," "," ","02"
"178901001","DUVJ","AGUA DULCE H S","N","NUECES","178","A","AGUA DULCE ISD","06 - 12","B"," "," ","02"
"015901001","PVJS","ALAMO HEIGHTS H S","N","BEXAR","015","R","ALAMO HEIGHTS ISD","09 - 12","S"," "," ","20"
"015901041","EW","ALAMO HEIGHTS J H","N","BEXAR","015","A","ALAMO HEIGHTS ISD","06 - 08","M"," "," ","20"
"015901002"," ","BEXAR CO J J A E P","N","BEXAR","015","X","ALAMO HEIGHTS ISD","06 - 06","M"," "," ","20"
"015901101","AWN","CAMBRIDGE EL","N","BEXAR","015","R","ALAMO HEIGHTS ISD","01 - 05","E"," "," ","20"
"015901102"," ","HOWARD EL","N","BEXAR","015","X","ALAMO HEIGHTS ISD","EE - KG","E"," "," ","20"
"015901104","EWN","WOODRIDGE EL","N","BEXAR","015","R","ALAMO HEIGHTS ISD","01 - 05","E"," "," ","20"
"250906101","M","ALBA-GOLDEN EL","N","WOOD","250","E","ALBA-GOLDEN ISD","PK - 05","E"," "," ","07"
"250906001","JWS","ALBA-GOLDEN H S","N","WOOD","250","R","ALBA-GOLDEN ISD","06 - 12","B"," "," ","07"
"250906002"," ","ALTER SCHOOL","N","WOOD","250","1","ALBA-GOLDEN ISD","07 - 12","S"," "," ","07"
