CAMPUS,BA0GH10N,BA0GM10N,BA0GR10N,BB0GR10N,BH0GR10N,BI0GR10N,BPEMALLP,BPERRA1R,BPERRA2R,BPERRA3R,BPERRA4R,BPERRA5R,BPERRA6R,BPERRA7R,BPERRA8R,BPERRAKR,BPERSA1R,BPERSA2R,BPERSA3R,BPERSA4R,BPERSA5R,BPERSA6R,BPERSA7R,BPERSA8R,BPERSAKR,BPETALLC,BPETASIP,BPETBILP,BPETBLAP,BPETDISP,BPETECOP,BPETG01P,BPETG02P,BPETG03P,BPETG04P,BPETG05P,BPETG06P,BPETG07P,BPETG08P,BPETG09P,BPETG10P,BPETG11P,BPETG12P,BPETGEEP,BPETGIFP,BPETGKNP,BPETGPKP,BPETHISP,BPETINDP,BPETLEPP,BPETPCIP,BPETRSKP,BPETSPEP,BPETTWOP,BPETVOCP,BPETWHIP,BS0GR10N,BW0GR10N,CA0GH10N,CA0GH10P,CA0GM10N,CA0GM10P,CA0GR10N,CB0GR10N,CB0GR10P,CH0GR10N,CH0GR10P,CI0GR10N,CI0GR10P,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETASIC,CPETASIP,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETPCIC,CPETPCIP,CPETRSKC,CPETRSKP,CPETSPEC,CPETSPEP,CPETTWOC,CPETTWOP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR10N,CS0GR10P,CW0GR10N,CW0GR10P,B20GR10N,B30GR10N,B40GR10N,C20GR10N,C20GR10P,C30GR10N,C30GR10P,C40GR10N,C40GR10P
"001902001",4188,1100,5288,309,509,34,13.9,.,.,.,.,.,.,0,2.2,.,.,.,.,.,.,.,0,0,.,24544,1.3,0.6,6.4,3.6,32.2,0,0,0,0,0,0,0.5,0.5,28.3,25.5,23.2,21.9,0,7,0,0,10.9,0.7,0.7,0,35.1,10.9,1.9,79.1,78.8,571,4310,41,85.4,7,14.6,48,12,25,2,4.2,0,0,41,19.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,185,0,0,0,0,20,10.8,2,0.9,60,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,24.9,49,26.5,42,22.7,48,25.9,0,0,24,13,0,0,0,0,12,6.5,1,0.5,0,0,0,0,55,29.7,26,14.1,7,3.8,119,64.3,145,78.4,6,12.5,32,66.7,66,57,3,2,4.2,0,0,0,0
"001902041",0,0,0,0,0,0,12.6,.,.,.,.,1.2,0.9,1,0.8,.,.,.,.,.,1.9,1.1,1.1,2.2,.,12997,0.4,0.5,3.4,1.6,38.8,0,0,0,0,4.9,25,35.3,34.7,0,0,0,0,0,8.9,0,0,7.1,0.9,0.5,0.1,29.9,9.6,1.7,10.7,86.5,0,0,0,.,0,.,0,0,.,0,.,0,.,23,14.1,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,162,1,0.6,0,0,12,7.4,0,0,53,32.7,0,0,0,0,0,0,0,0,0,0,55,34,46,28.4,61,37.7,0,0,0,0,0,0,0,0,0,0,21,13,0,0,0,0,5,3.1,0,0,0,0,0,0,37,22.8,24,14.8,3,1.9,35,21.6,141,87,0,.,0,.,0,0,0,0,.,0,.,0,.
"001902103",0,0,0,0,0,0,13.3,4.6,1.5,0.8,0.7,1.2,0,.,.,4.3,9.1,6.1,1.7,1.5,1.6,0,.,.,11.9,15505,1,2,3.1,0.1,37.8,13.4,13,16.8,18.1,17.8,3,0,0,0,0,0,0,0.3,4.9,12.6,5,9.6,0.6,2,0.1,26.3,8,2.4,0,83.1,0,0,0,.,0,.,0,0,.,0,.,0,.,46,18,2.4,7.1,2.2,0,2.2,.,.,.,10.3,40,0,0,0,0,.,.,.,0,259,2,0.8,3,1.2,13,5,0,0,122,47.1,36,13.9,48,18.5,28,10.8,45,17.4,47,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8,18,6.9,45,17.4,8,3.1,16,6.2,0,0,3,1.2,0,0,63,24.3,24,9.3,13,5,0,0,215,83,0,.,0,.,0,0,0,0,.,0,.,0,.
"001903001",2506,755,3261,80,202,29,13.7,.,.,.,.,.,.,2.3,0.8,.,.,.,.,.,.,.,3.9,0,.,15206,0.7,0.3,2.4,2.7,32.5,0,0,0,0,0,0,2.6,2.5,25.5,24.4,23.3,21.7,0,8.4,0,0,6.9,1,0.3,0.1,36.4,12.3,1.7,80.4,87.3,419,2891,62,76.5,19,23.5,81,6,7.4,5,6.2,0,0,52,13.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,358,1,0.3,0,0,18,5,12,3.1,146,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,29.1,100,27.9,79,22.1,75,20.9,0,0,29,8.1,0,0,0,0,20,5.6,2,0.6,0,0,0,0,124,34.6,40,11.2,5,1.4,284,79.3,312,87.2,18,22.2,66,81.5,47,11,1,4,4.9,0,0,0,0
"001903041",0,0,0,0,0,0,12.5,.,.,.,.,1.5,0.6,1,0.8,.,.,.,.,.,1.4,1.2,1.1,1.8,.,13555,0.5,0.6,2.2,1.7,40,0,0,0,0,8.1,25.9,33.3,32.7,0,0,0,0,0,8.8,0,0,7.4,1,0.6,0.1,30.2,10.4,1.8,9.1,87,0,0,0,.,0,.,0,0,.,0,.,0,.,41,13.1,.,.,.,.,.,0,1.3,0,.,.,.,.,.,.,0,11.1,0,.,276,1,0.4,0,0,9,3.3,2,0.6,117,42.4,0,0,0,0,0,0,0,0,0,0,95,34.4,99,35.9,82,29.7,0,0,0,0,0,0,0,0,0,0,17,6.2,0,0,0,0,19,6.9,0,0,0,0,0,0,105,38,27,9.8,7,2.5,49,17.8,240,87,0,.,0,.,0,0,0,0,.,0,.,0,.
"001903101",0,0,0,0,0,0,11.9,3.8,1.4,0.9,0.2,0.9,0.4,0,3.9,2.6,6.2,3.8,2.6,1,1.7,0,0,0,7.9,17941,1.3,2.1,3.8,0.2,33.3,12.9,13.2,15.8,17.6,17.9,4.6,0.3,0.3,0,0,0,0,0.4,6.2,12.6,4.3,10.7,0.4,2.1,0.2,24.1,7.8,2.5,0.3,81.2,0,0,0,.,0,.,0,0,.,0,.,0,.,77,13.8,8.4,2.9,2.2,1.2,3.4,.,.,.,5.1,0,12.5,0,0,0,.,.,.,25,691,6,0.9,12,1.7,47,6.8,0,0,445,64.4,86,12.4,100,14.5,113,16.4,98,14.2,95,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3,12,1.7,82,11.9,115,16.6,54,7.8,3,0.4,12,1.7,2,0.3,231,33.4,43,6.2,18,2.6,0,0,561,81.2,0,.,0,.,0,0,0,0,.,0,.,0,.
"001904001",5470,1284,6754,570,840,71,14.1,.,.,.,.,.,.,0,3.3,.,.,.,.,.,.,.,0,0,.,29595,1.2,1,7.8,3.5,31.5,0,0,0,0,0,0,0.3,0.3,27.7,26.2,22.7,22.7,0,8.4,0,0,14.9,1,1.1,0.1,33.9,10.4,1.9,72.9,73.1,651,5094,50,86.2,8,13.8,58,9,15.5,4,6.9,0,0,45,17.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,227,5,2.2,8,3.5,32,14.1,4,1.6,114,50.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,26,50,22,65,28.6,53,23.3,0,0,17,7.5,0,0,0,0,15,6.6,1,0.4,8,3.5,0,0,109,48,33,14.5,9,4,224,98.7,165,72.7,7,12.1,43,74.1,98,76,5,2,3.4,0,0,0,0
"001904041",0,0,0,0,0,0,12,.,.,.,.,0.7,0.3,0.5,0.3,.,.,.,.,.,1.6,1.8,1.1,1.6,.,20021,1.7,1.5,7.3,2.2,37.3,0,0,0,0,6.8,31.6,31,30.6,0,0,0,0,0,8.4,0,0,14.6,1.3,1.6,0.1,27.1,9.5,2.1,10.1,72.9,0,0,0,.,0,.,0,0,.,0,.,0,.,26,13.7,.,.,.,.,.,1.9,0,0,.,.,.,.,.,.,0,0,0,.,176,2,1.1,3,1.7,26,14.8,1,0.5,94,53.4,0,0,0,0,0,0,0,0,0,0,61,34.7,59,33.5,56,31.8,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0,0,15,8.5,1,0.6,3,1.7,0,0,73,41.5,20,11.4,4,2.3,0,0,128,72.7,0,.,0,.,0,0,0,0,.,0,.,0,.
"001904102",0,0,0,0,0,0,11.3,2.6,1.5,1.4,0.5,0.7,0.8,.,.,3,6.6,3.4,1.6,1.2,0.9,0,.,.,13.6,20330,2.2,3.5,5.3,0.1,28.5,15,15,15.8,17.4,15.4,4,0,0,0,0,0,0,0.3,6.9,13.8,3.3,13,0.8,3.6,0.1,22.3,8.2,2.4,0,76.3,0,0,0,.,0,.,0,0,.,0,.,0,.,60,19.3,3.9,2.5,2,2,2.1,.,.,.,0,16.7,0,0,0,0,.,.,.,0,395,4,1,18,4.6,38,9.6,0,0,232,58.7,49,12.4,57,14.4,52,13.2,53,13.4,63,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,16,4.1,73,18.5,47,11.9,36,9.1,1,0.3,18,4.6,0,0,93,23.5,35,8.9,14,3.5,0,0,302,76.5,0,.,0,.,0,0,0,0,.,0,.,0,.
"001906002",3494,950,4444,216,365,29,14.1,.,.,.,.,.,.,4.2,1,.,.,.,.,.,.,.,0,0,.,21574,1.3,0.7,5.3,3.6,32.9,0,0,0,0,0,0,1,1,28.8,25.7,22.2,21.3,0,7.2,0,0,10.1,0.7,0.7,0,34.4,11.4,1.6,79.3,81,543,3750,20,71.4,8,28.6,28,6,21.4,6,21.4,0,0,14,15.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85,0,0,1,1.2,8,9.4,1,1.1,39,45.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38.8,15,17.6,16,18.8,21,24.7,0,0,4,4.7,0,0,0,0,5,5.9,0,0,1,1.2,0,0,40,47.1,16,18.8,3,3.5,64,75.3,69,81.2,6,21.4,15,53.6,37,43,4,1,3.6,0,0,0,0
"001906102",0,0,0,0,0,0,13,3.4,2.2,1.1,0.5,0.8,0.4,0,0,2.8,6.1,6.1,2.6,0.8,0.7,0,0,0,11.4,17054,1,2.6,4.8,0.1,42.2,11.5,11.8,15,20.8,17,6.2,0.4,0.4,0,0,0,0,0.4,6.7,11.5,5.1,11.8,0.7,2.7,0.1,28.8,8.6,2,0,79.6,0,0,0,.,0,.,0,0,.,0,.,0,.,40,13.9,10.7,0,0,0,0,3.1,0,6.5,0,0,0,0,0,0,0,0,0,25,285,1,0.4,3,1.1,23,8.1,0,0,119,41.8,31,10.9,32,11.2,33,11.6,28,9.8,36,12.6,26,9.1,33,11.6,34,11.9,0,0,0,0,0,0,0,0,0,0,29,10.2,32,11.2,0,0,28,9.8,0,0,3,1.1,0,0,96,33.7,32,11.2,6,2.1,50,17.5,227,79.6,0,.,0,.,0,0,0,0,.,0,.,0,.
