CAMPUS,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
"057816102","A W BROWN - FELLOWSHIP NORTH CAMPU","Y","DALLAS","057","A W BROWN-FELLOWSHIP LEADERSHIP AC","PK - PK","E"," "," ","10"
"057816101","AW BROWN-FELLOWSHIP CHARTER SCHOOL","Y","DALLAS","057","A W BROWN-FELLOWSHIP LEADERSHIP AC","KG - 06","E"," "," ","10"
"057829001","A+ ACADEMY","Y","DALLAS","057","A+ ACADEMY","PK - 12","B"," "," ","10"
"109901001","ABBOTT SCHOOL","N","HILL","109","ABBOTT ISD","PK - 12","B"," "," ","12"
"095901003","ABERNATHY DAEP","N","HALE","095","ABERNATHY ISD","06 - 12","B"," "," ","17"
"095901101","ABERNATHY EL","N","HALE","095","ABERNATHY ISD","EE - 05","E"," "," ","17"
"095901001","ABERNATHY H S","N","HALE","095","ABERNATHY ISD","09 - 12","S"," "," ","17"
"095901041","ABERNATHY J H","N","HALE","095","ABERNATHY ISD","06 - 08","M"," "," ","17"
"221901001","ABILENE H S","N","TAYLOR","221","ABILENE ISD","09 - 12","S"," "," ","14"
"221901010","ACADEMY FOR TECHNOLOGY ENGINEERING","N","TAYLOR","221","ABILENE ISD","09 - 11","S"," "," ","14"
"221901142","ACADIA ABILENE BEHAVIORAL HEALTH","N","TAYLOR","221","ABILENE ISD","KG - 11","B"," "," ","14"
"221901102","AUSTIN EL","N","TAYLOR","221","ABILENE ISD","KG - 05","E"," "," ","14"
"221901153","BASSETTI EL","N","TAYLOR","221","ABILENE ISD","KG - 05","E"," "," ","14"
"221901103","BONHAM EL","N","TAYLOR","221","ABILENE ISD","KG - 05","E"," "," ","14"
"221901104","BOWIE EL","N","TAYLOR","221","ABILENE ISD","KG - 05","E"," "," ","14"
"221901047","CLACK MIDDLE","N","TAYLOR","221","ABILENE ISD","06 - 08","M"," "," ","14"
"221901106","COLLEGE HEIGHTS EL","N","TAYLOR","221","ABILENE ISD","KG - 05","E"," "," ","14"
"221901002","COOPER H S","N","TAYLOR","221","ABILENE ISD","09 - 12","S"," "," ","14"
"221901048","CRAIG MIDDLE","N","TAYLOR","221","ABILENE ISD","06 - 08","M"," "," ","14"
"221901208","DAY NURSERY OF ABILENE","N","TAYLOR","221","ABILENE ISD","PK - PK","E","221901000","ABILENE ISD","14"
"221901108","DYESS EL","N","TAYLOR","221","ABILENE ISD","KG - 05","E"," "," ","14"
