CAMPUS,C20GR12N,C20GR12R,C30GR12N,C30GR12R,C40GR12N,C40GR12R,CA0GH12N,CA0GH12R,CA0GM12N,CA0GM12R,CA0GR12N,CA0GR12R,CB0GR12N,CB0GR12R,CH0GR12N,CH0GR12R,CI0GR12N,CI0GR12R,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETASIC,CPETASIP,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETNEDC,CPETNEDP,CPETPCIC,CPETPCIP,CPETRSKC,CPETRSKP,CPETSPEC,CPETSPEP,CPETTWOC,CPETTWOP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR12N,CS0GR12R,CW0GR12N,CW0GR12R
"001902001",0,0,0,0,0,0,30,81.1,7,18.9,37,100,5,13.5,1,2.7,0,0,37,16.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,206,2,1,3,1.5,16,7.8,5,2.3,60,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,24.8,66,32,39,18.9,50,24.3,0,0,23,11.2,0,0,0,0,12,5.8,0,0,3,1.5,146,70.9,0,0,68,33,29,14.1,9,4.4,145,70.4,167,81.1,3,8.1,31,83.8
"001902041",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,22,13.3,.,.,.,.,.,0,0,2.4,.,.,.,.,.,.,0,0,0,.,146,1,0.7,0,0,9,6.2,0,0,53,36.3,0,0,0,0,0,0,0,0,0,0,43,29.5,50,34.2,53,36.3,0,0,0,0,0,0,0,0,0,0,17,11.6,0,0,0,0,5,3.4,0,0,0,0,93,63.7,0,0,38,26,22,15.1,7,4.8,35,24,124,84.9,0,.,0,.
"001902103",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,34,16,3.1,5.4,10,0,0,.,.,.,2.9,50,0,0,0,0,.,.,.,0,243,1,0.4,2,0.8,9,3.7,0,0,114,46.9,42,17.3,39,16,36,14.8,42,17.3,29,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.6,13,5.3,40,16.5,11,4.5,28,11.5,0,0,2,0.8,129,53.1,0,0,56,23,22,9.1,14,5.8,0,0,191,78.6,0,.,0,.
"001903001",0,0,0,0,0,0,54,73,20,27,74,100,3,4.1,3,4.1,0,0,59,15.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,349,2,0.6,0,0,12,3.4,4,1.1,129,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,28.1,76,21.8,96,27.5,79,22.6,0,0,24,6.9,0,0,0,0,23,6.6,1,0.3,0,0,220,63,0,0,122,35,34,9.7,13,3.7,277,79.4,298,85.4,10,13.5,68,91.9
"001903041",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,45,13.8,.,.,.,.,.,7.8,2.2,0,.,.,.,.,.,.,0,0,0,.,284,3,1.1,0,0,13,4.6,1,0.3,137,48.2,0,0,0,0,0,0,0,0,0,0,92,32.4,91,32,101,35.6,0,0,0,0,0,0,0,0,0,0,14,4.9,0,0,0,0,25,8.8,1,0.4,0,0,147,51.8,0,0,96,33.8,28,9.9,7,2.5,38,13.4,235,82.7,0,.,0,.
"001903101",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,33,17.7,4.2,1.3,.,.,.,.,.,.,6.2,0,11.1,.,.,.,.,.,.,20,327,2,0.6,11,3.4,11,3.4,0,0,235,71.9,80,24.5,82,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,5,1.5,59,18,105,32.1,41,12.5,0,0,11,3.4,92,28.1,0,0,54,16.5,25,7.6,15,4.6,0,0,258,78.9,0,.,0,.
"001903102",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,42,13.2,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,.,.,.,276,3,1.1,5,1.8,18,6.5,0,0,135,48.9,0,0,0,0,80,29,91,33,105,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.3,0,0,0,0,23,8.3,0,0,5,1.8,141,51.1,2,0.7,72,26.1,26,9.4,12,4.3,0,0,218,79,0,.,0,.
"001904001",1,1.8,1,1.8,0,0,50,89.3,6,10.7,56,100,9,16.1,4,7.1,0,0,35,15.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,210,2,1,0,0,29,13.8,1,0.4,114,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,25.7,46,21.9,61,29,49,23.3,0,0,13,6.2,0,0,0,0,20,9.5,1,0.5,0,0,96,45.7,0,0,77,36.7,34,16.2,13,6.2,207,98.6,145,69,6,10.7,41,73.2
"001904041",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,27,14.1,.,.,.,.,.,0,0,2,.,.,.,.,.,.,0,0,0,.,169,0,0,3,1.8,13,7.7,0,0,93,55,0,0,0,0,0,0,0,0,0,0,52,30.8,58,34.3,59,34.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9.5,1,0.6,3,1.8,76,45,0,0,48,28.4,10,5.9,3,1.8,57,33.7,136,80.5,0,.,0,.
"001904102",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,70,21.7,1.7,0,4.3,0,0,.,.,.,3.6,0,0,0,0,0,.,.,.,0,372,0,0,11,3,37,9.9,0,0,236,63.4,58,15.6,64,17.2,53,14.2,53,14.2,50,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,13,3.5,55,14.8,37,9.9,43,11.6,0,0,11,3,136,36.6,0,0,113,30.4,37,9.9,16,4.3,0,0,276,74.2,0,.,0,.
