DISTRICT,D20GR15N,D20GR15R,D30GR15N,D30GR15R,D40GR15N,D40GR15R,DA0GA15N,DA0GA15P,DA0GE15N,DA0GE15P,DA0GH15N,DA0GH15P,DA0GM15N,DA0GM15P,DA0GN15N,DA0GN15P,DA0GR15N,DA0GR15R,DB0GR15N,DB0GR15R,DE0GR15N,DE0GR15R,DH0GR15N,DH0GR15R,DI0GR15N,DI0GR15R,DL0GR15N,DL0GR15R,DPETALLC,DPETASIC,DPETASIP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DR0GR15N,DR0GR15R,DS0GR15N,DS0GR15R,DW0GR15N,DW0GR15R
"001902",1,1.8,1,1.8,0,0,0,0,0,0,46,82.1,10,17.9,0,0,56,100,6,10.7,13,23.2,4,7.1,0,0,0,0,568,4,0.7,24,4.2,7,1.1,192,33.8,40,7,0,0,3,0.5,376,66.2,0,0,224,39.4,29,5.1,471,82.9,13,23.2,8,14.3,44,78.6
"001903",3,4.1,1,1.4,0,0,0,0,0,0,62,84.9,11,15.1,0,0,73,100,2,2.7,28,38.4,4,5.5,0,0,0,0,1244,11,0.9,67,5.4,6,0.4,681,54.7,119,9.6,1,0.1,19,1.5,563,45.3,2,0.2,380,30.5,32,2.6,1012,81.4,12,16.4,3,4.1,63,86.3
"001904",0,0,1,2.3,0,0,0,0,0,0,31,72.1,11,25.6,1,2.3,43,100,8,18.6,25,58.1,5,11.6,0,0,0,0,841,6,0.7,74,8.8,9,1,475,56.5,86,10.2,4,0.5,19,2.3,366,43.5,1,0.1,338,40.2,32,3.8,638,75.9,31,72.1,9,20.9,29,67.4
"001906",0,0,0,0,0,0,0,0,0,0,26,89.7,3,10.3,0,0,29,100,2,6.9,10,34.5,1,3.4,0,0,0,0,383,3,0.8,32,8.4,4,1,164,42.8,44,11.5,0,0,6,1.6,219,57.2,0,0,116,30.3,8,2.1,296,77.3,5,17.2,2,6.9,26,89.7
"001907",0,0,3,1.7,0,0,0,0,0,0,161,92,14,8,0,0,175,100,51,29.1,102,58.3,70,40,0,0,3,1.7,3385,27,0.8,914,27,118,3.1,2507,74.1,1396,41.2,6,0.2,538,15.9,878,25.9,1,0,2030,60,96,2.8,945,27.9,90,51.4,14,8,51,29.1
"001908",3,3.4,1,1.1,0,0,0,0,0,0,76,86.4,12,13.6,0,0,88,100,18,20.5,48,54.5,9,10.2,0,0,0,0,1609,8,0.5,286,17.8,17,0.9,1010,62.8,385,23.9,9,0.6,92,5.7,599,37.2,0,0,849,52.8,64,4,857,53.3,30,34.1,9,10.2,57,64.8
"001909",0,0,0,0,0,0,0,0,0,0,19,59.4,11,34.4,2,6.3,32,100,0,0,14,43.8,1,3.1,0,0,0,0,414,1,0.2,9,2.2,1,0.2,198,47.8,22,5.3,3,0.7,4,1,216,52.2,0,0,140,33.8,9,2.2,370,89.4,14,43.8,6,18.8,31,96.9
"002901",5,2,1,0.4,0,0,199,78,0,0,2,0.8,38,14.9,16,6.3,255,100,4,1.6,44,17.3,149,58.4,0,0,7,2.7,3968,16,0.4,45,1.1,45,1,1575,39.7,2673,67.4,10,0.3,510,12.9,2393,60.3,0,0,1620,40.8,70,1.8,1154,29.1,97,38,16,6.3,96,37.6
"003801",0,0,1,2.5,0,0,0,0,0,0,39,97.5,1,2.5,0,0,40,100,4,10,6,15,4,10,0,0,0,0,966,22,2.3,166,17.2,1,0.1,451,46.7,189,19.6,0,0,51,5.3,515,53.3,2,0.2,154,15.9,17,1.8,570,59,22,55,1,2.5,31,77.5
"003902",5,2.6,3,1.6,0,0,24,12.7,0,0,132,69.8,28,14.8,5,2.6,189,100,11,5.8,78,41.3,45,23.8,0,0,2,1.1,2778,23,0.8,184,6.6,66,2.2,1486,53.5,668,24,19,0.7,198,7.1,1292,46.5,0,0,1077,38.8,48,1.7,1836,66.1,41,21.7,10,5.3,125,66.1
