CAMPUS,C20GR15N,C20GR15R,C30GR15N,C30GR15R,C40GR15N,C40GR15R,CA0GA15N,CA0GA15P,CA0GE15N,CA0GE15P,CA0GH15N,CA0GH15P,CA0GM15N,CA0GM15P,CA0GN15N,CA0GN15P,CA0GR15N,CA0GR15R,CB0GR15N,CB0GR15R,CE0GR15N,CE0GR15R,CH0GR15N,CH0GR15R,CI0GR15N,CI0GR15R,CL0GR15N,CL0GR15R,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETASIC,CPETASIP,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETNEDC,CPETNEDP,CPETPCIC,CPETPCIP,CPETRSKC,CPETRSKP,CPETSPEC,CPETSPEP,CPETTWOC,CPETTWOP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CR0GR15N,CR0GR15R,CS0GR15N,CS0GR15R,CW0GR15N,CW0GR15R
"001902001",1,1.8,1,1.8,0,0,0,0,0,0,46,82.1,10,17.9,0,0,56,100,6,10.7,13,23.2,4,7.1,0,0,0,0,28,12.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,188,3,1.6,1,0.5,7,3.7,6,2.7,51,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,25.5,45,23.9,47,25,48,25.5,0,0,27,14.4,0,0,0,0,3,1.6,0,0,1,0.5,137,72.9,0,0,86,45.7,37,19.7,10,5.3,153,81.4,165,87.8,13,23.2,8,14.3,44,78.6
"001902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,8.5,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,120,0,0,0,0,3,2.5,1,0.8,52,43.3,0,0,0,0,0,0,0,0,0,0,47,39.2,40,33.3,33,27.5,0,0,0,0,0,0,0,0,0,0,14,11.7,0,0,0,0,12,10,0,0,0,0,68,56.7,0,0,56,46.7,14,11.7,9,7.5,0,0,96,80,.,.,.,.,.,.
"001902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,16.4,2.6,0,3.2,0,2.4,.,.,.,0,0,0,0,0,0,.,.,.,14.3,260,1,0.4,2,0.8,14,5.4,0,0,89,34.2,50,19.2,47,18.1,45,17.3,34,13.1,44,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,22,8.5,39,15,0,0,25,9.6,0,0,2,0.8,171,65.8,0,0,82,31.5,27,10.4,10,3.8,0,0,210,80.8,.,.,.,.,.,.
"001903001",3,4.1,1,1.4,0,0,0,0,0,0,62,84.9,11,15.1,0,0,73,100,2,2.7,28,38.4,4,5.5,0,0,0,0,53,13.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,368,6,1.6,0,0,14,3.8,5,1.3,169,45.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,28,88,23.9,103,28,74,20.1,0,0,20,5.4,0,0,0,0,26,7.1,1,0.3,0,0,199,54.1,0,0,116,31.5,40,10.9,7,1.9,304,82.6,314,85.3,12,16.4,3,4.1,63,86.3
"001903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,12.3,.,.,.,.,.,1.2,6.5,0,.,.,.,.,.,.,0,6.7,25,.,299,3,1,1,0.3,21,7,1,0.3,151,50.5,0,0,0,0,0,0,0,0,0,0,93,31.1,105,35.1,101,33.8,0,0,0,0,0,0,0,0,0,0,7,2.3,0,0,0,0,23,7.7,0,0,1,0.3,148,49.5,2,0.7,123,41.1,34,11.4,12,4,0,0,238,79.6,.,.,.,.,.,.
"001903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,21.9,4.5,1.6,.,.,.,.,.,.,17,33.3,0,.,.,.,.,.,.,38.5,332,0,0,12,3.6,19,5.7,0,0,224,67.5,93,28,77,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.2,5,1.5,96,28.9,62,18.7,36,10.8,0,0,12,3.6,108,32.5,0,0,59,17.8,38,11.4,9,2.7,0,0,268,80.7,.,.,.,.,.,.
"001903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,18.1,.,.,0,0,0,.,.,.,.,.,.,9.1,0,0,.,.,.,.,245,2,0.8,6,2.4,13,5.3,0,0,137,55.9,0,0,0,0,76,31,81,33.1,88,35.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5.3,0,0,0,0,34,13.9,0,0,6,2.4,108,44.1,0,0,82,33.5,32,13.1,4,1.6,0,0,192,78.4,.,.,.,.,.,.
"001904001",0,0,1,2.3,0,0,0,0,0,0,31,72.1,11,25.6,1,2.3,43,100,8,18.6,25,58.1,5,11.6,0,0,0,0,45,18.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,231,2,0.9,4,1.7,22,9.5,8,3.2,119,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,28.1,66,28.6,53,22.9,47,20.3,0,0,18,7.8,0,0,0,0,26,11.3,2,0.9,4,1.7,112,48.5,0,0,108,46.8,19,8.2,4,1.7,215,93.1,175,75.8,31,72.1,9,20.9,29,67.4
"001904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,15.3,.,.,.,.,.,0,0,1.6,.,.,.,.,.,.,0,0,0,.,175,0,0,2,1.1,13,7.4,1,0.5,88,50.3,0,0,0,0,0,0,0,0,0,0,68,38.9,48,27.4,59,33.7,0,0,0,0,0,0,0,0,0,0,21,12,0,0,0,0,15,8.6,2,1.1,2,1.1,87,49.7,0,0,75,42.9,17,9.7,6,3.4,58,33.1,139,79.4,.,.,.,.,.,.
"001904102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,59,17.2,1.9,7.5,5.6,0,3.8,.,.,.,6.6,16.7,0,0,0,0,.,.,.,0,435,4,0.9,13,3,39,9,0,0,268,61.6,72,16.6,71,16.3,57,13.1,64,14.7,72,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.7,21,4.8,58,13.3,38,8.7,45,10.3,0,0,13,3,167,38.4,1,0.2,155,35.6,33,7.6,22,5.1,0,0,324,74.5,.,.,.,.,.,.
