CAMPUS,BA0GH09N,BA0GM09N,BA0GR09N,BB0GR09N,BH0GR09N,BI0GR09N,BP0GR09N,BPEMALLP,BPERRA1R,BPERRA2R,BPERRA3R,BPERRA4R,BPERRA5R,BPERRA6R,BPERRA7R,BPERRA8R,BPERRAKR,BPERSA1R,BPERSA2R,BPERSA3R,BPERSA4R,BPERSA5R,BPERSA6R,BPERSA7R,BPERSA8R,BPERSAKR,BPETALLC,BPETBILP,BPETBLAP,BPETDISP,BPETECOP,BPETG01P,BPETG02P,BPETG03P,BPETG04P,BPETG05P,BPETG06P,BPETG07P,BPETG08P,BPETG09P,BPETG10P,BPETG11P,BPETG12P,BPETGEEP,BPETGIFP,BPETGKNP,BPETGPKP,BPETHISP,BPETINDP,BPETLEPP,BPETPACP,BPETRSKP,BPETSPEP,BPETVOCP,BPETWHIP,BS0GR09N,BW0GR09N,CA0GH09N,CA0GH09P,CA0GM09N,CA0GM09P,CA0GR09N,CB0GR09N,CB0GR09P,CH0GR09N,CH0GR09P,CI0GR09N,CI0GR09P,CP0GR09N,CP0GR09P,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETPACC,CPETPACP,CPETRSKC,CPETRSKP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR09N,CS0GR09P,CW0GR09N,CW0GR09P
"001902001",4197,1080,5277,339,464,28,73,13.4,.,.,.,.,.,0,2.4,0,.,.,.,.,.,.,.,9.1,0,.,25021,0.6,7.4,19,29.2,0,0,0,0,0,0,0.7,0.6,27.9,25.1,23.7,22.1,0,8.2,0,0,10.6,0.6,0.7,1.5,36.3,11,76.2,79.9,575,4373,24,77.4,7,22.6,31,2,6.5,1,3.2,0,0,0,0,28,14.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,197,0,0,29,14.7,26,13.5,67,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,27.9,47,23.9,44,22.3,51,25.9,0,0,23,11.7,0,0,0,0,8,4.1,0,0,0,0,2,1,45,22.8,26,13.2,132,67,158,80.2,5,16.1,28,90.3
"001902041",0,0,0,0,0,0,0,11.5,.,.,.,.,0.9,1,0.7,0.6,.,.,.,.,.,0,2,0.7,1.5,.,13492,0.7,3.1,15.9,30.7,0,0,0,0,7,30,31.5,31.4,0,0,0,0,0,10.4,0,0,6.7,1,0.7,1.2,25.6,9.5,12.1,88,0,0,0,.,0,.,0,0,.,0,.,0,.,0,.,17,10.8,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,145,0,0,8,5.5,18,11.4,50,34.5,0,0,0,0,0,0,0,0,0,0,44,30.3,56,38.6,45,31,0,0,0,0,0,0,0,0,0,0,20,13.8,0,0,0,0,8,5.5,0,0,0,0,1,0.7,22,15.2,19,13.1,67,46.2,128,88.3,0,.,0,.
"001902103",0,0,0,0,0,0,0,12.7,2.7,1.3,0.9,0.6,0.8,0.2,0,0,4.3,5.9,2.1,2.3,1.4,0.7,1.7,0,0,20.4,15766,1.6,4.4,5,32.6,13.1,13.9,17.3,19.2,17.6,3.4,0.1,0,0,0,0,0,0.3,5.8,12,3.3,8.5,0.8,1.6,1.7,23.7,8.4,0,84.7,0,0,0,.,0,.,0,0,.,0,.,0,.,0,.,42,17.3,15.2,6.8,0,0,0,.,.,.,2.7,0,0,0,0,0,.,.,.,40,286,3,1,26,9.1,8,2.7,126,44.1,46,16.1,33,11.5,56,19.6,44,15.4,51,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7,24,8.4,40,14,14,4.9,15,5.2,1,0.3,3,1,1,0.3,96,33.6,32,11.2,0,0,243,85,0,.,0,.
"001903001",3059,891,3950,192,288,28,44,15,.,.,.,.,.,.,0,1.1,.,.,.,.,.,.,.,9.1,4.8,.,19430,0.6,4.6,20.3,31.4,0,0,0,0,0,0,1,1,26.6,25.6,23.3,22.4,0,7.2,0,0,8.6,0.7,0.6,1.1,36.4,11.9,79,85,487,3398,48,61.5,30,38.5,78,2,2.6,3,3.8,0,0,1,1.3,60,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,356,0,0,30,8.4,75,20.1,138,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,30.9,85,23.9,75,21.1,86,24.2,0,0,27,7.6,0,0,0,0,16,4.5,4,1.1,0,0,2,0.6,161,45.2,48,13.5,231,64.9,304,85.4,23,29.5,72,92.3
"001903041",0,0,0,0,0,0,0,13,.,.,.,.,1.5,0.9,0.6,0.7,.,.,.,.,.,0,1.8,0.8,1.9,.,11817,0.7,2.4,18.9,38,0,0,0,0,5,33.6,30.8,30.7,0,0,0,0,0,10.1,0,0,6.9,1.1,0.7,0.8,28.6,10.1,9.5,88.8,0,0,0,.,0,.,0,0,.,0,.,0,.,0,.,51,15.2,.,.,.,.,.,2.6,1.2,1,.,.,.,.,.,.,7.7,0,0,.,286,0,0,10,3.5,89,26.5,117,40.9,0,0,0,0,0,0,0,0,0,0,97,33.9,85,29.7,104,36.4,0,0,0,0,0,0,0,0,0,0,18,6.3,0,0,0,0,18,6.3,1,0.3,0,0,0,0,104,36.4,33,11.5,101,35.3,257,89.9,0,.,0,.
"001903101",0,0,0,0,0,0,0,12.2,3.3,1.2,0.8,0.8,0.7,0.5,.,.,3,5.1,2.3,2.5,1.8,1.1,0.9,.,.,11.9,17993,1.8,5.1,5.2,31.5,13.2,13.6,15.5,20,19,3.9,0.2,0.2,0,0,0,0,0.2,6.3,11.9,2.4,9.1,0.6,1.9,1.8,26.3,9,0.9,83.4,0,0,0,.,0,.,0,0,.,0,.,0,.,0,.,91,15.9,12.4,6.5,3.7,0,0,.,.,.,8.3,18.2,22.2,0,0,7.1,.,.,.,50,712,11,1.5,55,7.7,52,6.5,414,58.1,103,14.5,120,16.9,98,13.8,93,13.1,100,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,12,1.7,87,12.2,110,15.4,56,7.9,3,0.4,11,1.5,5,0.7,182,25.6,46,6.5,0,0,593,83.3,0,.,0,.
"001904001",5148,1243,6391,426,696,38,98,13.8,.,.,.,.,.,0,0,0,.,.,.,.,.,.,.,0,0,.,29656,1.1,7.5,18.8,29,0,0,0,0,0,0,0.1,0.1,26,25.7,24.6,23.6,0,8.8,0,0,13,0.8,1.1,1.7,36.2,11.6,74.8,77.1,719,5133,48,82.8,10,17.2,58,6,10.3,5,8.6,0,0,0,0,33,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,229,8,3.5,36,15.7,85,30.8,102,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,21.8,65,28.4,59,25.8,55,24,0,0,24,10.5,0,0,0,0,14,6.1,0,0,8,3.5,4,1.7,121,52.8,29,12.7,225,98.3,175,76.4,8,13.8,47,81
"001904041",0,0,0,0,0,0,0,12.3,.,.,.,.,1,0.6,0.6,0.7,.,.,.,.,.,0,1.3,2.4,1.4,.,17406,2.1,8.1,17.9,36.8,0,0,0,0,7.6,25.4,33.9,33.1,0,0,0,0,0,9,0,0,12.2,0.6,2.2,1.5,31.1,10.2,10.7,77.6,0,0,0,.,0,.,0,0,.,0,.,0,.,0,.,32,18.1,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,174,5,2.9,25,14.4,16,9,101,58,0,0,0,0,0,0,0,0,0,0,62,35.6,53,30.5,59,33.9,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0,0,11,6.3,1,0.6,5,2.9,2,1.1,78,44.8,30,17.2,86,49.4,135,77.6,0,.,0,.
"001904102",0,0,0,0,0,0,0,10.5,1.9,0.9,0.8,0.5,0.5,0.6,0,0,3.5,5.8,1.7,1.2,0.6,0.8,0,0,0,14.1,19750,3.6,6.3,3.5,25.9,14.4,14.5,17.8,20.8,12.5,1.8,0.2,0.1,0,0,0,0,0.5,6.1,14,3.4,11.8,0.6,3.7,3.5,20.4,8,0,77.8,0,0,0,.,0,.,0,0,.,0,.,0,.,0,.,70,22.4,0,6,2.2,2,0,.,.,.,4.1,0,0,0,0,0,.,.,.,50,360,18,5,45,12.5,22,5.4,215,59.7,55,15.3,54,15,57,15.8,59,16.4,47,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6,13,3.6,49,13.6,37,10.3,30,8.3,2,0.6,18,5,2,0.6,88,24.4,26,7.2,0,0,281,78.1,0,.,0,.
"001906002",4173,936,5109,562,601,38,61,14.9,.,.,.,.,.,.,0,2.4,.,.,.,.,.,.,.,0,0,.,23729,1.3,11.3,20.7,35.2,0,0,0,0,0,0,0.2,0.2,27.2,24.6,24.9,22.9,0,8.1,0,0,13.5,0.9,1.4,1.5,39.5,12.2,76.1,72.8,593,3847,21,67.7,10,32.3,31,3,9.7,2,6.5,1,3.2,0,0,37,20.7,.,.,.,.,.,.,5.9,0,.,.,.,.,.,.,.,0,33.3,.,87,0,0,15,17.2,46,25.7,37,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20.7,19,21.8,20,23,30,34.5,0,0,6,6.9,0,0,0,0,8,9.2,0,0,0,0,0,0,38,43.7,19,21.8,52,59.8,64,73.6,9,29,25,80.6
