DISTRICT,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETWHIC,DPETWHIP
"001902",569,5,0.9,66,11.6,211,37.1,29,5.1,0,0,5,0.9,4,0.7,154,27.1,92,16.2,470,82.6
"001903",1319,9,0.7,112,8.5,658,49.9,76,5.8,3,0.2,9,0.7,5,0.4,476,36.1,189,14.3,1123,85.1
"001904",789,35,4.4,111,14.1,423,53.6,61,7.7,0,0,35,4.4,6,0.8,325,41.2,113,14.3,611,77.4
"001906",352,0,0,34,9.7,127,36.1,17,4.8,0,0,0,0,3,0.9,125,35.5,64,18.2,298,84.7
"001907",3405,317,9.3,996,29.3,2217,65.1,1062,31.2,6,0.2,331,9.7,30,0.9,1836,53.9,327,9.6,1311,38.5
"001908",1759,51,2.9,309,17.6,882,50.1,247,14,3,0.2,56,3.2,12,0.7,758,43.1,247,14,1188,67.5
"001909",402,2,0.5,2,0.5,237,59,21,5.2,1,0.2,2,0.5,0,0,42,10.4,70,17.4,378,94
"002901",2973,189,6.4,64,2.2,1365,45.9,1759,59.2,9,0.3,250,8.4,19,0.6,1277,43,453,15.2,1122,37.7
"003801",263,1,0.4,62,23.6,145,55.1,25,9.5,0,0,1,0.4,4,1.5,66,25.1,34,12.9,172,65.4
"003902",2412,127,5.3,117,4.9,1282,53.2,475,19.7,11,0.5,140,5.8,19,0.8,730,30.3,260,10.8,1790,74.2
"003903",8601,1530,17.8,2625,30.5,5591,65,2713,31.5,9,0.1,1275,14.8,88,1,4421,51.4,1189,13.8,3166,36.8
"003904",1706,15,0.9,43,2.5,793,46.5,64,3.8,3,0.2,15,0.9,5,0.3,630,36.9,221,13,1591,93.3
"003905",1866,309,16.6,277,14.8,1316,70.5,895,48,6,0.3,352,18.9,4,0.2,980,52.5,201,10.8,684,36.7
"003906",479,0,0,1,0.2,260,54.3,6,1.3,0,0,0,0,0,0,199,41.5,84,17.5,472,98.5
"003907",1632,48,2.9,76,4.7,700,42.9,183,11.2,6,0.4,60,3.7,12,0.7,587,36,300,18.4,1355,83
"004901",3244,114,3.5,63,1.9,1922,59.2,1170,36.1,12,0.4,117,3.6,118,3.6,1756,54.1,419,12.9,1881,58
"005901",483,2,0.4,1,0.2,167,34.6,18,3.7,3,0.6,2,0.4,0,0,170,35.2,65,13.5,461,95.4
"005902",837,0,0,5,0.6,210,25.1,33,3.9,12,1.4,0,0,1,0.1,262,31.3,60,7.2,786,93.9
"005904",518,72,13.9,0,0,209,40.3,118,22.8,1,0.2,72,13.9,0,0,221,42.7,49,9.5,399,77
"006902",351,5,1.4,5,1.4,159,45.3,24,6.8,3,0.9,5,1.4,0,0,81,23.1,48,13.7,319,90.9
