DISTRICT,DA0GR08N,DA0GR08P,DB0GR08N,DB0GR08P,DH0GR08N,DH0GR08P,DI0GR08N,DI0GR08P,DP0GR08N,DP0GR08P,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETWHIC,DPETWHIP,DS0GR08N,DS0GR08P,DW0GR08N,DW0GR08P
"001902",30,100,2,6.7,1,3.3,0,0,0,0,594,2,0.3,53,8.9,6,0.9,187,31.5,24,4,0,0,2,0.3,5,0.8,155,26.1,81,13.6,512,86.2,6,20,27,90
"001903",73,100,4,5.5,4,5.5,0,0,1,1.4,1340,10,0.7,88,6.6,20,1.4,630,47,89,6.6,4,0.3,10,0.7,6,0.4,481,35.9,156,11.6,1153,86,16,21.9,64,87.7
"001904",53,100,8,15.1,2,3.8,0,0,0,0,760,31,4.1,103,13.6,2,0.2,403,53,54,7.1,1,0.1,31,4.1,5,0.7,309,40.7,90,11.8,597,78.6,8,15.1,43,81.1
"001906",16,100,2,12.5,0,0,0,0,0,0,390,5,1.3,39,10,4,1,136,34.9,36,9.2,1,0.3,0,0,2,0.5,127,32.6,59,15.1,312,80,4,25,14,87.5
"001907",185,100,57,30.8,42,22.7,0,0,2,1.1,3267,310,9.5,964,29.5,72,1.9,2207,67.6,1114,34.1,6,0.2,311,9.5,29,0.9,2061,63.1,250,7.7,1154,35.3,21,11.4,84,45.4
"001908",94,100,20,21.3,11,11.7,0,0,0,0,1759,61,3.5,308,17.5,38,1.9,879,50,273,15.5,8,0.5,69,3.9,21,1.2,864,49.1,187,10.6,1149,65.3,21,22.3,63,67
"001909",24,100,1,4.2,0,0,0,0,0,0,387,2,0.5,2,0.5,7,1.6,186,48.1,12,3.1,4,1,2,0.5,0,0,153,39.5,46,11.9,369,95.3,7,29.2,23,95.8
"002901",194,100,6,3.1,99,51,0,0,3,1.5,3116,257,8.2,66,2.1,71,2.1,1303,41.8,1899,60.9,8,0.3,316,10.1,21,0.7,1176,37.7,297,9.5,1122,36,26,13.4,86,44.3
"003801",0,.,0,.,0,.,0,.,0,.,304,1,0.3,88,28.9,0,0,209,68.8,50,16.4,1,0.3,1,0.3,3,1,66,21.7,45,14.8,162,53.3,0,.,0,.
"003902",172,100,5,2.9,27,15.7,0,0,2,1.2,2482,141,5.7,138,5.6,56,2,1343,54.1,479,19.3,8,0.3,148,6,28,1.1,661,26.6,218,8.8,1829,73.7,23,13.4,138,80.2
"003903",507,100,153,30.2,107,21.1,1,0.2,6,1.2,8575,1692,19.7,2534,29.6,356,3.8,6004,70,2926,34.1,6,0.1,1345,15.7,111,1.3,4301,50.2,1139,13.3,2998,35,94,18.5,240,47.3
"003904",117,100,3,2.6,3,2.6,0,0,1,0.9,1768,18,1,41,2.3,18,0.9,829,46.9,80,4.5,8,0.5,18,1,1,0.1,620,35.1,179,10.1,1638,92.6,33,28.2,110,94
"003905",109,100,20,18.3,46,42.2,0,0,0,0,1833,240,13.1,268,14.6,33,1.6,1305,71.2,892,48.7,6,0.3,264,14.4,3,0.2,932,50.8,178,9.7,664,36.2,17,15.6,43,39.4
"003906",26,100,0,0,0,0,0,0,0,0,468,0,0,4,0.9,9,1.7,262,56,14,3,3,0.6,0,0,0,0,205,43.8,69,14.7,447,95.5,7,26.9,26,100
"003907",121,100,8,6.6,10,8.3,0,0,0,0,1565,47,3,69,4.4,16,0.9,779,49.8,208,13.3,4,0.3,56,3.6,8,0.5,650,41.5,214,13.7,1276,81.5,23,19,103,85.1
"004901",187,100,4,2.1,48,25.7,3,1.6,11,5.9,3024,130,4.3,71,2.3,107,3.1,1834,60.6,1127,37.3,12,0.4,130,4.3,104,3.4,1541,51,305,10.1,1710,56.5,25,13.4,121,64.7
"005901",35,100,0,0,1,2.9,0,0,1,2.9,450,1,0.2,2,0.4,4,0.8,149,33.1,12,2.7,4,0.9,1,0.2,0,0,158,35.1,55,12.2,432,96,7,20,33,94.3
"005902",79,100,0,0,4,5.1,2,2.5,0,0,858,0,0,12,1.4,8,0.9,224,26.1,38,4.4,9,1,0,0,1,0.1,276,32.2,72,8.4,798,93,7,8.9,73,92.4
