DISTRICT,DA0GR09N,DA0GR09P,DB0GR09N,DB0GR09P,DH0GR09N,DH0GR09P,DI0GR09N,DI0GR09P,DP0GR09N,DP0GR09P,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETWHIC,DPETWHIP,DS0GR09N,DS0GR09P,DW0GR09N,DW0GR09P
"001902",31,100,2,6.5,1,3.2,0,0,0,0,628,3,0.5,63,10,243,38.7,31,4.9,1,0.2,3,0.5,4,0.6,163,26,77,12.3,529,84.2,5,16.1,28,90.3
"001903",78,100,2,2.6,3,3.8,0,0,1,1.3,1354,11,0.8,95,7,669,49.4,90,6.6,8,0.6,11,0.8,7,0.5,447,33,127,9.4,1154,85.2,23,29.5,72,92.3
"001904",58,100,6,10.3,5,8.6,0,0,0,0,763,31,4.1,106,13.9,418,54.8,55,7.2,3,0.4,31,4.1,8,1,287,37.6,85,11.1,591,77.5,8,13.8,47,81
"001906",31,100,3,9.7,2,6.5,1,3.2,0,0,376,4,1.1,32,8.5,166,44.1,36,9.6,0,0,4,1.1,4,1.1,145,38.6,54,14.4,304,80.9,9,29,25,80.6
"001907",161,100,47,29.2,37,23,1,0.6,1,0.6,3238,338,10.4,964,29.8,2309,71.3,1161,35.9,6,0.2,342,10.6,34,1.1,2160,66.7,217,6.7,1073,33.1,21,13,75,46.6
"001908",112,100,16,14.3,15,13.4,1,0.9,0,0,1695,70,4.1,326,19.2,950,56,260,15.3,19,1.1,76,4.5,21,1.2,928,54.7,174,10.3,1069,63.1,9,8,80,71.4
"001909",23,100,0,0,0,0,0,0,0,0,410,3,0.7,12,2.9,195,47.6,12,2.9,3,0.7,3,0.7,0,0,167,40.7,51,12.4,383,93.4,6,26.1,23,100
"002901",172,100,0,0,99,57.6,0,0,3,1.7,3134,271,8.6,73,2.3,1528,48.8,1937,61.8,6,0.2,328,10.5,21,0.7,1218,38.9,287,9.2,1097,35,18,10.5,70,40.7
"003801",0,.,0,.,0,.,0,.,0,.,336,0,0,71,21.1,206,61.3,37,11,2,0.6,0,0,4,1.2,47,14,39,11.6,222,66.1,0,.,0,.
"003902",138,100,6,4.3,24,17.4,2,1.4,0,0,2595,159,6.1,130,5,1452,56,482,18.6,8,0.3,162,6.2,27,1,689,26.6,186,7.2,1948,75.1,19,13.8,106,76.8
