DISTRICT,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP
"001902",606,3,0.5,3,0.5,45,7.4,235,38.8,33,5.4,1,0.2,3,0.5,0,0,155,25.6,74,12.2,23,3.8,501,82.7
"001903",1325,8,0.6,12,0.9,74,5.6,708,53.4,93,7,5,0.4,12,0.9,2,0.2,460,34.7,110,8.3,30,2.3,1113,84
"001904",798,11,1.4,29,3.6,96,12,440,55.1,66,8.3,3,0.4,29,3.6,0,0,275,34.5,88,11,27,3.4,595,74.6
"001906",370,1,0.3,4,1.1,31,8.4,158,42.7,33,8.9,0,0,4,1.1,0,0,136,36.8,48,13,9,2.4,296,80
"001907",3241,24,0.7,356,11,916,28.3,2379,73.4,1225,37.8,9,0.3,362,11.2,2,0.1,2139,66,196,6,49,1.5,1016,31.3
"001908",1720,22,1.3,62,3.6,312,18.1,999,58.1,341,19.8,7,0.4,67,3.9,1,0.1,828,48.1,151,8.8,59,3.4,978,56.9
"001909",404,0,0,3,0.7,8,2,199,49.3,19,4.7,2,0.5,3,0.7,0,0,139,34.4,47,11.6,15,3.7,360,89.1
"002901",3242,14,0.4,390,12,67,2.1,1597,49.3,2053,63.3,4,0.1,327,10.1,0,0,1234,38.1,269,8.3,52,1.6,1052,32.4
"003801",465,8,1.7,0,0,87,18.7,272,58.5,59,12.7,1,0.2,0,0,2,0.4,36,7.7,41,8.8,7,1.5,301,64.7
"003902",2654,30,1.1,164,6.2,123,4.6,1500,56.5,561,21.1,18,0.7,171,6.4,3,0.1,713,26.9,197,7.4,48,1.8,1871,70.5
"003903",8588,105,1.2,1761,20.5,2376,27.7,6330,73.7,3317,38.6,16,0.2,1374,16,5,0.1,4566,53.2,1039,12.1,169,2,2600,30.3
"003904",1738,1,0.1,18,1,38,2.2,896,51.6,96,5.5,10,0.6,19,1.1,0,0,571,32.9,178,10.2,22,1.3,1571,90.4
"003905",1989,1,0.1,285,14.3,262,13.2,1519,76.4,1047,52.6,3,0.2,297,14.9,1,0.1,899,45.2,173,8.7,23,1.2,652,32.8
"003906",471,0,0,0,0,0,0,294,62.4,16,3.4,0,0,0,0,0,0,174,36.9,51,10.8,7,1.5,448,95.1
"003907",1509,2,0.1,47,3.1,61,4,843,55.9,234,15.5,8,0.5,52,3.4,0,0,458,30.4,162,10.7,24,1.6,1180,78.2
"004901",3087,85,2.8,126,4.1,39,1.3,2012,65.2,1276,41.3,12,0.4,126,4.1,1,0,1415,45.8,276,8.9,58,1.9,1616,52.3
"005901",504,0,0,0,0,7,1.4,181,35.9,33,6.5,5,1,0,0,0,0,157,31.2,55,10.9,25,5,434,86.1
"005902",896,0,0,1,0.1,5,0.6,243,27.1,56,6.3,6,0.7,1,0.1,0,0,291,32.5,80,8.9,7,0.8,822,91.7
"005904",468,0,0,59,12.6,1,0.2,236,50.4,127,27.1,6,1.3,59,12.6,0,0,184,39.3,39,8.3,3,0.6,331,70.7
"006902",349,0,0,4,1.1,7,2,141,40.4,36,10.3,1,0.3,4,1.1,0,0,130,37.2,39,11.2,1,0.3,304,87.1
