DISTRICT,DA0GR11N,DA0GR11P,DB0GR11N,DB0GR11P,DH0GR11N,DH0GR11P,DI0GR11N,DI0GR11P,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPCIC,DPETPCIP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DS0GR11N,DS0GR11P,DW0GR11N,DW0GR11P,D20GR11N,D20GR11P,D30GR11N,D30GR11P,D40GR11N,D40GR11P
"001902",45,100,6,13.3,4,8.9,0,0,590,3,0.5,2,0.3,35,5.9,220,37.3,30,5.1,0,0,2,0.3,0,0,71,12,22,3.7,500,84.7,7,15.6,32,71.1,3,6.7,0,0,0,0
"001903",75,100,5,6.7,4,5.3,1,1.3,1271,12,0.9,10,0.8,62,4.9,706,55.5,100,7.9,3,0.2,10,0.8,2,0.2,121,9.5,31,2.4,1061,83.5,11,14.7,65,86.7,0,0,0,0,0,0
"001904",56,100,8,14.3,6,10.7,1,1.8,733,3,0.4,15,2,82,11.2,425,58,76,10.4,2,0.3,15,2,0,0,80,10.9,28,3.8,542,73.9,8,14.3,38,67.9,1,1.8,2,3.6,0,0
"001906",20,100,0,0,0,0,0,0,403,3,0.7,4,1,29,7.2,163,40.4,40,9.9,0,0,4,1,0,0,49,12.2,7,1.7,324,80.4,6,30,20,100,0,0,0,0,0,0
"001907",176,100,45,25.6,58,33,0,0,3220,41,1.3,353,11,903,28,2470,76.7,1255,39,9,0.3,381,11.8,3,0.1,218,6.8,54,1.7,955,29.7,11,6.3,72,40.9,0,0,1,0.6,0,0
"001908",94,100,15,16,11,11.7,0,0,1717,12,0.7,61,3.6,306,17.8,1045,60.9,327,19,4,0.2,72,4.2,4,0.2,160,9.3,72,4.2,992,57.8,24,25.5,65,69.1,2,2.1,1,1.1,0,0
"001909",20,100,0,0,2,10,0,0,431,0,0,3,0.7,6,1.4,211,49,20,4.6,3,0.7,3,0.7,0,0,50,11.6,17,3.9,385,89.3,3,15,18,90,0,0,0,0,0,0
"002901",195,100,5,2.6,106,54.4,0,0,3408,13,0.4,451,13.2,54,1.6,1556,45.7,2209,64.8,6,0.2,357,10.5,0,0,248,7.3,53,1.6,1073,31.5,30,15.4,82,42.1,1,0.5,1,0.5,0,0
"003801",0,.,0,.,0,.,0,.,554,11,2,0,0,98,17.7,350,63.2,79,14.3,1,0.2,0,0,2,0.4,48,8.7,7,1.3,356,64.3,0,.,0,.,0,.,0,.,0,.
"003902",185,100,6,3.2,28,15.1,3,1.6,2714,24,0.9,175,6.4,149,5.5,1590,58.6,622,22.9,10,0.4,182,6.7,3,0.1,215,7.9,49,1.8,1857,68.4,8,4.3,131,70.8,12,6.5,4,2.2,1,0.5
"003903",527,100,165,31.3,156,29.6,0,0,8506,112,1.3,1817,21.4,2358,27.7,6275,73.8,3336,39.2,19,0.2,1381,16.2,5,0.1,964,11.3,168,2,2508,29.5,89,16.9,196,37.2,4,0.8,5,0.9,1,0.2
"003904",118,100,2,1.7,3,2.5,0,0,1751,2,0.1,19,1.1,44,2.5,896,51.2,97,5.5,11,0.6,20,1.1,1,0.1,184,10.5,28,1.6,1568,89.5,18,15.3,111,94.1,2,1.7,0,0,0,0
"003905",123,100,22,17.9,55,44.7,0,0,1965,1,0.1,309,15.7,230,11.7,1475,75.1,1062,54,3,0.2,325,16.5,1,0.1,176,9,33,1.7,635,32.3,10,8.1,46,37.4,0,0,0,0,0,0
"003906",22,100,0,0,0,0,0,0,445,1,0.2,0,0,1,0.2,270,60.7,16,3.6,0,0,0,0,0,0,45,10.1,13,2.9,414,93,7,31.8,22,100,0,0,0,0,0,0
"003907",109,100,4,3.7,12,11,0,0,1529,4,0.3,49,3.2,67,4.4,842,55.1,248,16.2,10,0.7,54,3.5,0,0,151,9.9,17,1.1,1183,77.4,18,16.5,92,84.4,1,0.9,0,0,0,0
"004901",210,100,7,3.3,72,34.3,2,1,3129,79,2.5,109,3.5,36,1.2,2043,65.3,1268,40.5,14,0.4,109,3.5,0,0,281,9,65,2.1,1667,53.3,19,9,114,54.3,6,2.9,9,4.3,0,0
"005901",33,100,3,9.1,1,3,0,0,499,2,0.4,2,0.4,4,0.8,178,35.7,30,6,5,1,2,0.4,0,0,48,9.6,25,5,433,86.8,5,15.2,28,84.8,1,3,0,0,0,0
"005902",62,100,0,0,5,8.1,1,1.6,862,1,0.1,2,0.2,5,0.6,224,26,57,6.6,7,0.8,2,0.2,0,0,78,9,5,0.6,787,91.3,2,3.2,55,88.7,1,1.6,0,0,0,0
"005904",30,100,0,0,7,23.3,0,0,471,1,0.2,54,11.5,0,0,216,45.9,122,25.9,7,1.5,54,11.5,0,0,35,7.4,3,0.6,338,71.8,4,13.3,23,76.7,0,0,0,0,0,0
"006902",22,100,1,4.5,2,9.1,0,0,364,0,0,5,1.4,7,1.9,156,42.9,38,10.4,2,0.5,5,1.4,0,0,44,12.1,4,1.1,313,86,1,4.5,19,86.4,0,0,0,0,0,0
"007901",39,100,0,0,29,74.4,0,0,522,1,0.2,43,8.2,3,0.6,386,73.9,455,87.2,0,0,43,8.2,0,0,34,6.5,1,0.2,62,11.9,7,17.9,10,25.6,0,0,0,0,0,0
"007902",71,100,0,0,37,52.1,0,0,1425,4,0.3,30,2.1,11,0.8,816,57.3,851,59.7,3,0.2,32,2.2,1,0.1,106,7.4,14,1,541,38,12,16.9,33,46.5,0,0,1,1.4,0,0
"007904",136,100,1,0.7,100,73.5,0,0,1713,0,0,103,6,18,1.1,1223,71.4,1350,78.8,7,0.4,105,6.1,2,0.1,109,6.4,7,0.4,329,19.2,11,8.1,35,25.7,0,0,0,0,0,0
"007905",218,100,2,0.9,142,65.1,2,0.9,3432,11,0.3,73,2.1,10,0.3,2174,63.3,2398,69.9,8,0.2,75,2.2,0,0,282,8.2,25,0.7,980,28.6,24,11,70,32.1,0,0,2,0.9,0,0
"007906",103,100,2,1.9,84,81.6,0,0,1765,2,0.1,75,4.2,1,0.1,1286,72.9,1494,84.6,1,0.1,82,4.6,0,0,130,7.4,7,0.4,260,14.7,10,9.7,17,16.5,0,0,0,0,0,0
"008901",156,100,22,14.1,34,21.8,2,1.3,2136,4,0.2,156,7.3,223,10.4,1015,47.5,555,26,6,0.3,158,7.4,0,0,207,9.7,56,2.6,1292,60.5,18,11.5,95,60.9,3,1.9,0,0,0,0
"008902",181,100,18,9.9,68,37.6,0,0,2669,11,0.4,292,10.9,279,10.5,1520,57,1214,45.5,4,0.1,298,11.2,2,0.1,222,8.3,39,1.5,1120,42,27,14.9,89,49.2,2,1.1,4,2.2,0,0
"008903",49,100,7,14.3,20,40.8,0,0,856,6,0.7,87,10.2,84,9.8,476,55.6,415,48.5,0,0,90,10.5,0,0,46,5.4,12,1.4,339,39.6,5,10.2,22,44.9,0,0,0,0,0,0
"009901",84,100,0,0,68,81,1,1.2,1520,5,0.3,221,14.5,4,0.3,1243,81.8,1222,80.4,0,0,231,15.2,0,0,180,11.8,3,0.2,286,18.8,11,13.1,15,17.9,0,0,0,0,0,0
"010901",24,100,0,0,6,25,0,0,288,0,0,13,4.5,3,1,133,46.2,56,19.4,2,0.7,13,4.5,0,0,48,16.7,4,1.4,223,77.4,3,12.5,18,75,0,0,0,0,0,0
"010902",192,100,0,0,41,21.4,1,0.5,2435,11,0.5,103,4.2,11,0.5,1272,52.2,739,30.3,16,0.7,103,4.2,1,0,263,10.8,40,1.6,1617,66.4,29,15.1,148,77.1,1,0.5,1,0.5,0,0
"011901",525,100,50,9.5,202,38.5,3,0.6,9082,45,0.5,1509,16.6,563,6.2,6304,69.4,4779,52.6,51,0.6,1668,18.4,7,0.1,1012,11.1,231,2.5,3406,37.5,44,8.4,252,48,11,2.1,5,1,2,0.4
"011902",212,100,31,14.6,88,41.5,0,0,4062,18,0.4,722,17.8,509,12.5,2862,70.5,2166,53.3,15,0.4,745,18.3,3,0.1,375,9.2,96,2.4,1255,30.9,24,11.3,90,42.5,3,1.4,0,0,0,0
"011904",6,100,1,16.7,1,16.7,1,16.7,1722,11,0.6,58,3.4,147,8.5,1029,59.8,421,24.4,9,0.5,60,3.5,2,0.1,183,10.6,48,2.8,1084,63,1,16.7,3,50,0,0,0,0,0,0
"011905",0,.,0,.,0,.,0,.,192,1,0.5,46,24,1,0.5,128,66.7,91,47.4,0,0,50,26,0,0,21,10.9,0,0,99,51.6,0,.,0,.,0,.,0,.,0,.
"012901",36,100,0,0,7,19.4,0,0,567,3,0.5,3,0.5,18,3.2,312,55,116,20.5,8,1.4,3,0.5,0,0,55,9.7,8,1.4,414,73,0,0,29,80.6,0,0,0,0,0,0
"013801",0,.,0,.,0,.,0,.,396,13,3.3,4,1,4,1,302,76.3,313,79,0,0,4,1,0,0,41,10.4,0,0,66,16.7,0,.,0,.,0,.,0,.,0,.
"013901",251,100,6,2.4,187,74.5,2,0.8,3459,7,0.2,82,2.4,70,2,2527,73.1,2847,82.3,3,0.1,100,2.9,0,0,325,9.4,15,0.4,517,14.9,27,10.8,53,21.1,1,0.4,2,0.8,0,0
"013902",0,.,0,.,0,.,0,.,154,0,0,0,0,0,0,101,65.6,116,75.3,0,0,1,0.6,0,0,12,7.8,0,0,38,24.7,0,.,0,.,0,.,0,.,0,.
"013903",29,100,0,0,21,72.4,0,0,425,0,0,2,0.5,4,0.9,286,67.3,252,59.3,0,0,2,0.5,1,0.2,54,12.7,5,1.2,163,38.4,1,3.4,7,24.1,1,3.4,0,0,0,0
"013905",42,100,0,0,19,45.2,0,0,807,1,0.1,16,2,6,0.7,494,61.2,526,65.2,4,0.5,16,2,0,0,78,9.7,4,0.5,266,33,2,4.8,22,52.4,1,2.4,0,0,0,0
