DISTRICT,D20GR12N,D20GR12R,D30GR12N,D30GR12R,D40GR12N,D40GR12R,DA0GH12N,DA0GH12R,DA0GM12N,DA0GM12R,DA0GR12N,DA0GR12R,DB0GR12N,DB0GR12R,DH0GR12N,DH0GR12R,DI0GR12N,DI0GR12R,DPETALLC,DPETASIC,DPETASIP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DS0GR12N,DS0GR12R,DW0GR12N,DW0GR12R
"001902",0,0,0,0,0,0,30,81.1,7,18.9,37,100,5,13.5,1,2.7,0,0,595,4,0.7,34,5.7,5,0.8,227,38.2,45,7.6,0,0,5,0.8,368,61.8,0,0,162,27.2,30,5,482,81,3,8.1,31,83.8
"001903",0,0,0,0,0,0,54,73,20,27,74,100,3,4.1,3,4.1,0,0,1236,10,0.8,54,4.4,5,0.4,636,51.5,112,9.1,2,0.2,16,1.3,600,48.5,2,0.2,344,27.8,47,3.8,1009,81.6,10,13.5,68,91.9
"001904",1,1.8,1,1.8,0,0,50,89.3,6,10.7,56,100,9,16.1,4,7.1,0,0,751,2,0.3,79,10.5,1,0.1,443,59,79,10.5,2,0.3,14,1.9,308,41,0,0,238,31.7,32,4.3,557,74.2,6,10.7,41,73.2
"001906",0,0,0,0,0,0,14,77.8,4,22.2,18,100,4,22.2,2,11.1,0,0,406,2,0.5,24,5.9,0,0,170,41.9,39,9.6,0,0,4,1,236,58.1,0,0,168,41.4,6,1.5,335,82.5,1,5.6,12,66.7
"001907",2,1.4,2,1.4,1,0.7,124,89.2,15,10.8,139,100,35,25.2,62,44.6,0,0,3288,33,1,924,28.1,135,3.7,2502,76.1,1272,38.7,15,0.5,434,13.2,786,23.9,2,0.1,1938,58.9,64,1.9,978,29.7,13,9.4,37,26.6
"001908",2,2,0,0,0,0,78,76.5,24,23.5,102,100,20,19.6,13,12.7,0,0,1619,10,0.6,268,16.6,39,2,1002,61.9,341,21.1,6,0.4,80,4.9,617,38.1,2,0.1,718,44.3,74,4.6,918,56.7,25,24.5,67,65.7
"001909",1,3.6,0,0,0,0,20,71.4,8,28.6,28,100,0,0,1,3.6,1,3.6,439,0,0,5,1.1,3,0.6,198,45.1,23,5.2,1,0.2,2,0.5,241,54.9,0,0,76,17.3,18,4.1,392,89.3,6,21.4,25,89.3
"002901",4,1.7,2,0.8,0,0,160,67.5,77,32.5,237,100,2,0.8,130,54.9,0,0,3617,13,0.4,65,1.8,31,0.8,1489,41.2,2363,65.3,11,0.3,398,11,2128,58.8,0,0,1198,33.1,53,1.5,1112,30.7,22,9.3,99,41.8
"003801",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,635,15,2.4,109,17.2,0,0,320,50.4,98,15.4,0,0,0,0,315,49.6,2,0.3,49,7.7,10,1.6,401,63.1,0,.,0,.
"003902",7,4.5,0,0,0,0,122,79.2,32,20.8,154,100,6,3.9,27,17.5,1,0.6,2726,29,1.1,156,5.7,57,1.9,1490,54.7,629,23.1,11,0.4,177,6.5,1236,45.3,1,0,904,33.2,41,1.5,1859,68.2,12,7.8,113,73.4
