DISTRICT,D20GR14N,D20GR14R,D30GR14N,D30GR14R,D40GR14N,D40GR14R,DA0GF14N,DA0GF14P,DA0GH14N,DA0GH14P,DA0GM14N,DA0GM14P,DA0GR14N,DA0GR14R,DB0GR14N,DB0GR14R,DH0GR14N,DH0GR14R,DI0GR14N,DI0GR14R,DPETALLC,DPETASIC,DPETASIP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DS0GR14N,DS0GR14R,DW0GR14N,DW0GR14R
"001902",2,6.1,0,0,0,0,0,0,30,90.9,3,9.1,33,100,2,6.1,3,9.1,0,0,577,3,0.5,27,4.7,4,0.6,210,36.4,37,6.4,0,0,1,0.2,367,63.6,0,0,206,35.7,32,5.5,478,82.8,6,18.2,26,78.8
"001903",2,2.8,1,1.4,0,0,0,0,58,80.6,14,19.4,72,100,1,1.4,5,6.9,0,0,1217,13,1.1,64,5.3,5,0.4,648,53.2,108,8.9,1,0.1,16,1.3,569,46.8,2,0.2,406,33.4,38,3.1,991,81.4,6,8.3,63,87.5
"001904",1,1.8,0,0,0,0,0,0,48,84.2,9,15.8,57,100,10,17.5,3,5.3,1,1.8,803,7,0.9,89,11.1,9,1.1,446,55.5,83,10.3,4,0.5,19,2.4,357,44.5,0,0,334,41.6,32,4,588,73.2,12,21.1,42,73.7
"001906",1,2.5,1,2.5,0,0,0,0,32,80,8,20,40,100,2,5,6,15,0,0,370,1,0.3,30,8.1,2,0.5,156,42.2,41,11.1,0,0,3,0.8,214,57.8,0,0,117,31.6,6,1.6,292,78.9,4,10,30,75
"001907",1,0.6,2,1.1,0,0,0,0,163,92.6,13,7.4,176,100,56,31.8,56,31.8,0,0,3352,29,0.9,911,27.2,79,2.1,2458,73.3,1311,39.1,47,1.4,523,15.6,894,26.7,3,0.1,2069,61.7,93,2.8,958,28.6,14,8,61,34.7
"001908",5,6.3,1,1.3,2,2.5,0,0,65,82.3,14,17.7,79,100,18,22.8,8,10.1,0,0,1595,13,0.8,277,17.4,26,1.5,1020,63.9,398,25,5,0.3,95,6,575,36.1,0,0,796,49.9,57,3.6,845,53,9,11.4,45,57
"001909",0,0,0,0,0,0,2,6.9,23,79.3,4,13.8,29,100,0,0,0,0,1,3.4,389,0,0,5,1.3,7,1.6,163,41.9,22,5.7,4,1,0,0,226,58.1,0,0,138,35.5,8,2.1,350,90,4,13.8,28,96.6
"002901",2,0.9,0,0,0,0,0,0,174,75.7,56,24.3,230,100,4,1.7,136,59.1,2,0.9,4006,14,0.3,60,1.5,32,0.8,1464,36.5,2670,66.7,7,0.2,507,12.7,2542,63.5,0,0,1690,42.2,59,1.5,1196,29.9,24,10.4,86,37.4
"003801",0,0,1,4.8,0,0,0,0,20,95.2,1,4.8,21,100,3,14.3,2,9.5,0,0,811,19,2.3,134,16.5,0,0,407,50.2,140,17.3,0,0,41,5.1,404,49.8,1,0.1,273,33.7,15,1.8,502,61.9,3,14.3,15,71.4
"003902",3,1.7,4,2.2,0,0,0,0,153,84.5,28,15.5,181,100,5,2.8,48,26.5,1,0.6,2816,24,0.9,191,6.8,64,2.1,1499,53.2,647,23,25,0.9,178,6.3,1317,46.8,1,0,988,35.1,38,1.3,1890,67.1,8,4.4,120,66.3
"003903",8,1.5,13,2.5,1,0.2,0,0,417,79.7,106,20.3,523,100,138,26.4,191,36.5,1,0.2,8322,143,1.7,2413,29,316,3.5,6152,73.9,3268,39.3,19,0.2,1548,18.6,2170,26.1,10,0.1,5105,61.3,167,2,2302,27.7,110,21,171,32.7
"003904",3,2.1,0,0,0,0,0,0,89,61,57,39,146,100,4,2.7,6,4.1,1,0.7,1755,2,0.1,29,1.7,27,1.4,888,50.6,116,6.6,9,0.5,17,1,867,49.4,0,0,810,46.2,40,2.3,1559,88.8,9,6.2,132,90.4
"003905",0,0,0,0,0,0,0,0,87,71.3,35,28.7,122,100,14,11.5,67,54.9,0,0,1930,6,0.3,232,12,31,1.4,1296,67.2,1039,53.8,2,0.1,366,19,634,32.8,2,0.1,1146,59.4,30,1.6,619,32.1,11,9,41,33.6
"003906",1,4,0,0,0,0,0,0,20,80,5,20,25,100,0,0,0,0,0,0,412,0,0,4,1,0,0,245,59.5,16,3.9,3,0.7,0,0,167,40.5,0,0,184,44.7,8,1.9,381,92.5,4,16,24,96
"003907",2,1.9,0,0,0,0,0,0,76,73.8,27,26.2,103,100,1,1,13,12.6,0,0,1575,1,0.1,98,6.2,33,1.9,837,53.1,315,20,7,0.4,52,3.3,738,46.9,0,0,703,44.6,30,1.9,1124,71.4,10,9.7,87,84.5
"004901",2,1,8,4,0,0,0,0,171,85.9,28,14.1,199,100,1,0.5,80,40.2,0,0,3246,71,2.2,48,1.5,131,3.6,1801,55.5,1305,40.2,12,0.4,117,3.6,1445,44.5,1,0,1594,49.1,79,2.4,1730,53.3,16,8,108,54.3
"005901",0,0,0,0,0,0,0,0,21,65.6,11,34.4,32,100,0,0,5,15.6,0,0,482,0,0,4,0.8,8,1.6,179,37.1,42,8.7,3,0.6,8,1.7,303,62.9,0,0,152,31.5,21,4.4,412,85.5,3,9.4,27,84.4
"005902",0,0,0,0,0,0,11,16.7,50,75.8,5,7.6,66,100,0,0,3,4.5,2,3,901,1,0.1,3,0.3,4,0.4,213,23.6,61,6.8,3,0.3,3,0.3,688,76.4,0,0,319,35.4,15,1.7,818,90.8,2,3,61,92.4
"005904",0,0,0,0,0,0,0,0,39,97.5,1,2.5,40,100,0,0,8,20,0,0,458,1,0.2,1,0.2,0,0,158,34.5,130,28.4,5,1.1,38,8.3,300,65.5,0,0,200,43.7,2,0.4,319,69.7,1,2.5,32,80
"006902",0,0,0,0,0,0,0,0,26,86.7,4,13.3,30,100,0,0,3,10,0,0,357,0,0,9,2.5,2,0.5,146,40.9,45,12.6,2,0.6,3,0.8,211,59.1,0,0,119,33.3,8,2.2,293,82.1,3,10,27,90
"007901",0,0,0,0,0,0,0,0,17,63,10,37,27,100,0,0,19,70.4,0,0,513,0,0,1,0.2,6,1,356,69.4,447,87.1,0,0,32,6.2,157,30.6,0,0,349,68,3,0.6,62,12.1,1,3.7,8,29.6
"007902",2,2.1,2,2.1,1,1,55,56.7,37,38.1,5,5.2,97,100,1,1,60,61.9,0,0,1633,2,0.1,16,1,29,1.6,919,56.3,956,58.5,3,0.2,35,2.1,714,43.7,0,0,767,47,14,0.9,642,39.3,6,6.2,31,32
"007904",1,0.8,0,0,0,0,0,0,118,96.7,4,3.3,122,100,0,0,97,79.5,0,0,1720,0,0,16,0.9,38,2,1228,71.4,1368,79.5,8,0.5,146,8.5,492,28.6,4,0.2,897,52.2,9,0.5,315,18.3,6,4.9,24,19.7
"007905",2,0.9,0,0,0,0,0,0,182,85.4,31,14.6,213,100,0,0,143,67.1,0,0,3568,16,0.4,17,0.5,75,1.9,1820,51,2485,69.6,8,0.2,110,3.1,1748,49,0,0,1677,47,29,0.8,1013,28.4,27,12.7,68,31.9
"007906",0,0,0,0,0,0,0,0,90,90,10,10,100,100,1,1,92,92,0,0,1742,2,0.1,5,0.3,35,1.8,1336,76.7,1476,84.7,6,0.3,78,4.5,406,23.3,0,0,1024,58.8,8,0.5,245,14.1,11,11,7,7
"008901",7,4.7,0,0,0,0,0,0,116,77.9,33,22.1,149,100,18,12.1,32,21.5,1,0.7,2159,6,0.3,219,10.1,25,1.1,996,46.1,611,28.3,7,0.3,182,8.4,1163,53.9,1,0,906,42,48,2.2,1267,58.7,21,14.1,91,61.1
"008902",1,0.5,1,0.5,0,0,0,0,161,88,22,12,183,100,11,6,74,40.4,1,0.5,2793,11,0.4,289,10.3,41,1.4,1585,56.7,1310,46.9,6,0.2,348,12.5,1208,43.3,2,0.1,1275,45.6,53,1.9,1122,40.2,22,12,95,51.9
"008903",2,3.6,0,0,0,0,0,0,50,90.9,5,9.1,55,100,3,5.5,31,56.4,0,0,836,6,0.7,84,10,6,0.7,475,56.8,399,47.7,0,0,96,11.5,361,43.2,0,0,368,44,18,2.2,329,39.4,1,1.8,19,34.5
"009901",0,0,0,0,0,0,0,0,57,82.6,12,17.4,69,100,0,0,52,75.4,0,0,1423,10,0.7,7,0.5,41,2.6,1210,85,1183,83.1,0,0,278,19.5,213,15,0,0,732,51.4,1,0.1,222,15.6,6,8.7,17,24.6
"010901",0,0,0,0,0,0,0,0,13,65,7,35,20,100,0,0,3,15,0,0,268,0,0,4,1.5,3,0.9,163,60.8,66,24.6,1,0.4,19,7.1,105,39.2,0,0,118,44,8,3,189,70.5,2,10,17,85
"010902",4,2.5,0,0,0,0,0,0,109,67.3,53,32.7,162,100,1,0.6,36,22.2,3,1.9,2272,9,0.4,11,0.5,42,1.6,1152,50.7,711,31.3,13,0.6,87,3.8,1120,49.3,2,0.1,1034,45.5,29,1.3,1497,65.9,20,12.3,118,72.8
"011901",15,2.6,4,0.7,0,0,1,0.2,428,75.2,140,24.6,569,100,33,5.8,260,45.7,2,0.4,9905,52,0.5,554,5.6,263,2.5,6640,67,5948,60.1,40,0.4,2255,22.8,3265,33,6,0.1,6300,63.6,261,2.6,3044,30.7,60,10.5,255,44.8
"011902",5,2,1,0.4,0,0,6,2.4,225,90.4,18,7.2,249,100,32,12.9,107,43,0,0,4258,15,0.4,568,13.3,139,3.1,3104,72.9,2479,58.2,7,0.2,891,20.9,1154,27.1,3,0.1,2826,66.4,102,2.4,1084,25.5,16,6.4,104,41.8
"011904",2,1.5,1,0.8,0,0,0,0,94,70.7,39,29.3,133,100,17,12.8,23,17.3,1,0.8,1758,8,0.5,131,7.5,52,2.7,1003,57.1,526,29.9,6,0.3,85,4.8,755,42.9,1,0.1,719,40.9,65,3.7,1021,58.1,13,9.8,89,66.9
