DISTRICT,DISTNAME
"001902","CAYUGA ISD"
"001903","ELKHART ISD"
"001904","FRANKSTON ISD"
"001906","NECHES ISD"
"001907","PALESTINE ISD"
"001908","WESTWOOD ISD"
"001909","SLOCUM ISD"
"002901","ANDREWS ISD"
"003801","PINEYWOODS COMMUNITY ACADEMY"
"003902","HUDSON ISD"
"003903","LUFKIN ISD"
"003904","HUNTINGTON ISD"
"003905","DIBOLL ISD"
"003906","ZAVALLA ISD"
"003907","CENTRAL ISD"
"004901","ARANSAS COUNTY ISD"
"005901","ARCHER CITY ISD"
"005902","HOLLIDAY ISD"
"005904","WINDTHORST ISD"
"006902","CLAUDE ISD"
"007901","CHARLOTTE ISD"
"007902","JOURDANTON ISD"
"007904","LYTLE ISD"
"007905","PLEASANTON ISD"
"007906","POTEET ISD"
"008901","BELLVILLE ISD"
"008902","SEALY ISD"
"008903","BRAZOS ISD"
"009901","MULESHOE ISD"
"010901","MEDINA ISD"
"010902","BANDERA ISD"
"011901","BASTROP ISD"
"011902","ELGIN ISD"
"011904","SMITHVILLE ISD"
"011905","MCDADE ISD"
"012901","SEYMOUR ISD"
"013801","ST MARY'S ACADEMY CHARTER SCHOOL"
"013901","BEEVILLE ISD"
"013902","PAWNEE ISD"
"013903","PETTUS ISD"
"013905","SKIDMORE-TYNAN ISD"
"014801","RICHARD MILBURN ALTER HIGH SCHOOL"
"014803","PRIORITY CHARTER SCHOOLS"
"014804","ORENDA CHARTER SCHOOL"
"014901","ACADEMY ISD"
"014902","BARTLETT ISD"
"014903","BELTON ISD"
"014905","HOLLAND ISD"
"014906","KILLEEN ISD"
"014907","ROGERS ISD"
"014908","SALADO ISD"
"014909","TEMPLE ISD"
"014910","TROY ISD"
"015801","POR VIDA ACADEMY"
"015802","GEORGE GERVIN ACADEMY"
"015805","NEW FRONTIERS CHARTER SCHOOL"
"015806","SCHOOL OF EXCELLENCE IN EDUCATION"
"015807","SOUTHWEST PREPARATORY SCHOOL"
"015808","JOHN H WOOD JR PUBLIC CHARTER DIST"
"015809","BEXAR COUNTY ACADEMY"
"015814","POSITIVE SOLUTIONS CHARTER SCHOOL"
"015815","RADIANCE ACADEMY OF LEARNING"
"015816","ACADEMY OF CAREERS AND TECHNOLOGIE"
"015819","SHEKINAH RADIANCE ACADEMY"
"015820","SAN ANTONIO SCHOOL FOR INQUIRY & C"
"015822","JUBILEE ACADEMIC CENTER"
"015825","LIGHTHOUSE CHARTER SCHOOL"
"015826","KIPP SAN ANTONIO"
"015827","SCHOOL OF SCIENCE AND TECHNOLOGY"
"015828","HARMONY SCIENCE ACAD (SAN ANTONIO)"
"015830","BROOKS ACADEMY OF SCIENCE AND ENGI"
"015831","SCHOOL OF SCIENCE AND TECHNOLOGY D"
"015833","HENRY FORD ACADEMY ALAMEDA SCHOOL"
"015834","BASIS TEXAS"
"015835","GREAT HEARTS TEXAS"
"015836","ELEANOR KOLITZ HEBREW LANGUAGE ACA"
"015837","CARPE DIEM SCHOOLS"
"015901","ALAMO HEIGHTS ISD"
"015904","HARLANDALE ISD"
"015905","EDGEWOOD ISD"
"015906","RANDOLPH FIELD ISD"
"015907","SAN ANTONIO ISD"
"015908","SOUTH SAN ANTONIO ISD"
"015909","SOMERSET ISD"
"015910","NORTH EAST ISD"
"015911","EAST CENTRAL ISD"
"015912","SOUTHWEST ISD"
"015913","LACKLAND ISD"
"015914","FT SAM HOUSTON ISD"
"015915","NORTHSIDE ISD"
"015916","JUDSON ISD"
"015917","SOUTHSIDE ISD"
"016901","JOHNSON CITY ISD"
"016902","BLANCO ISD"
"017901","BORDEN COUNTY ISD"
"018901","CLIFTON ISD"
"018902","MERIDIAN ISD"
"018903","MORGAN ISD"
"018904","VALLEY MILLS ISD"
"018905","WALNUT SPRINGS ISD"
"018906","IREDELL ISD"
"018907","KOPPERL ISD"
"018908","CRANFILLS GAP ISD"
"019901","DEKALB ISD"
"019902","HOOKS ISD"
"019903","MAUD ISD"
"019905","NEW BOSTON ISD"
"019906","REDWATER ISD"
"019907","TEXARKANA ISD"
"019908","LIBERTY-EYLAU ISD"
"019909","SIMMS ISD"
"019910","MALTA ISD"
"019911","RED LICK ISD"
"019912","PLEASANT GROVE ISD"
"019913","HUBBARD ISD"
"019914","LEARY ISD"
"020901","ALVIN ISD"
"020902","ANGLETON ISD"
"020904","DANBURY ISD"
"020905","BRAZOSPORT ISD"
"020906","SWEENY ISD"
"020907","COLUMBIA-BRAZORIA ISD"
"020908","PEARLAND ISD"
"020910","DAMON ISD"
"021803","BRAZOS SCHOOL FOR INQUIRY & CREATI"
"021805","ARROW ACADEMY"
"021901","COLLEGE STATION ISD"
"021902","BRYAN ISD"
"022004","TERLINGUA CSD"
"022901","ALPINE ISD"
"022902","MARATHON ISD"
"022903","SAN VICENTE ISD"
"023902","SILVERTON ISD"
"024901","BROOKS COUNTY ISD"
"025901","BANGS ISD"
"025902","BROWNWOOD ISD"
"025904","BLANKET ISD"
"025905","MAY ISD"
"025906","ZEPHYR ISD"
"025908","BROOKESMITH ISD"
"025909","EARLY ISD"
"026901","CALDWELL ISD"
"026902","SOMERVILLE ISD"
"026903","SNOOK ISD"
"027903","BURNET CISD"
"027904","MARBLE FALLS ISD"
"028902","LOCKHART ISD"
"028903","LULING ISD"
"028906","PRAIRIE LEA ISD"
"029901","CALHOUN COUNTY ISD"
"030901","CROSS PLAINS ISD"
"030902","CLYDE CISD"
"030903","BAIRD ISD"
"030906","EULA ISD"
"031901","BROWNSVILLE ISD"
"031903","HARLINGEN CISD"
"031905","LA FERIA ISD"
"031906","LOS FRESNOS CISD"
"031909","POINT ISABEL ISD"
"031911","RIO HONDO ISD"
"031912","SAN BENITO CISD"
"031913","SANTA MARIA ISD"
"031914","SANTA ROSA ISD"
"031916","SOUTH TEXAS ISD"
"032902","PITTSBURG ISD"
"033901","GROOM ISD"
"033902","PANHANDLE ISD"
"033904","WHITE DEER ISD"
"034901","ATLANTA ISD"
"034902","AVINGER ISD"
"034903","HUGHES SPRINGS ISD"
"034905","LINDEN-KILDARE CISD"
"034906","MCLEOD ISD"
"034907","QUEEN CITY ISD"
"034909","BLOOMBURG ISD"
"035901","DIMMITT ISD"
"035902","HART ISD"
"035903","NAZARETH ISD"
"036901","ANAHUAC ISD"
"036902","BARBERS HILL ISD"
"036903","EAST CHAMBERS ISD"
"037901","ALTO ISD"
"037904","JACKSONVILLE ISD"
"037907","RUSK ISD"
"037908","NEW SUMMERFIELD ISD"
"037909","WELLS ISD"
"038901","CHILDRESS ISD"
"039902","HENRIETTA ISD"
"039903","PETROLIA CISD"
"039904","BELLEVUE ISD"
"039905","MIDWAY ISD"
"040901","MORTON ISD"
"040902","WHITEFACE CISD"
"041901","BRONTE ISD"
"041902","ROBERT LEE ISD"
"042901","COLEMAN ISD"
"042903","SANTA ANNA ISD"
"042905","PANTHER CREEK CISD"
"043801","IMAGINE INTERNATIONAL ACADEMY OF N"
"043901","ALLEN ISD"
"043902","ANNA ISD"
"043903","CELINA ISD"
"043904","FARMERSVILLE ISD"
"043905","FRISCO ISD"
"043907","MCKINNEY ISD"
"043908","MELISSA ISD"
"043910","PLANO ISD"
"043911","PRINCETON ISD"
"043912","PROSPER ISD"
"043914","WYLIE ISD"
"043917","BLUE RIDGE ISD"
"043918","COMMUNITY ISD"
"043919","LOVEJOY ISD"
"044902","WELLINGTON ISD"
"045902","COLUMBUS ISD"
"045903","RICE CISD"
"045905","WEIMAR ISD"
"046802","TRINITY CHARTER SCHOOL"
"046901","NEW BRAUNFELS ISD"
"046902","COMAL ISD"
"047901","COMANCHE ISD"
"047902","DE LEON ISD"
"047903","GUSTINE ISD"
"047905","SIDNEY ISD"
"048901","EDEN CISD"
"048903","PAINT ROCK ISD"
"049901","GAINESVILLE ISD"
"049902","MUENSTER ISD"
"049903","VALLEY VIEW ISD"
"049905","CALLISBURG ISD"
"049906","ERA ISD"
"049907","LINDSAY ISD"
"049908","WALNUT BEND ISD"
"049909","SIVELLS BEND ISD"
"050901","EVANT ISD"
"050902","GATESVILLE ISD"
"050904","OGLESBY ISD"
"050909","JONESBORO ISD"
"050910","COPPERAS COVE ISD"
"051901","PADUCAH ISD"
"052901","CRANE ISD"
"053001","CROCKETT COUNTY CONSOLIDATED CSD"
"054901","CROSBYTON CISD"
"054902","LORENZO ISD"
"054903","RALLS ISD"
"055901","CULBERSON COUNTY-ALLAMOORE ISD"
"056901","DALHART ISD"
"056902","TEXLINE ISD"
"057802","PEGASUS SCHOOL OF LIBERAL ARTS AND"
"057803","UPLIFT EDUCATION"
"057804","TEXANS CAN ACADEMIES"
"057805","LUMIN EDUCATION"
"057806","ADVANTAGE ACADEMY"
"057807","LIFE SCHOOL"
"057808","UNIVERSAL ACADEMY"
"057809","NOVA ACADEMY"
"057810","ACADEMY OF DALLAS"
"057811","CHILDREN FIRST ACADEMY OF DALLAS"
"057813","TRINITY BASIN PREPARATORY"
"057814","ACADEMY FOR ACADEMIC EXCELLENCE"
"057816","A W BROWN-FELLOWSHIP LEADERSHIP AC"
"057817","FOCUS LEARNING ACADEMY"
"057819","JEAN MASSIEU ACADEMY"
"057827","NOVA ACADEMY (SOUTHEAST)"
"057828","WINFREE ACADEMY CHARTER SCHOOLS"
"057829","A+ ACADEMY"
"057830","INSPIRED VISION ACADEMY"
"057831","GATEWAY CHARTER ACADEMY"
"057832","ALPHA CHARTER SCHOOL"
"057833","EDUCATION CENTER INTERNATIONAL ACA"
"057834","EVOLUTION ACADEMY CHARTER SCHOOL"
"057835","GOLDEN RULE CHARTER SCHOOL"
"057836","ST ANTHONY SCHOOL"
"057837","KIPP DALLAS-FORT WORTH"
"057839","LA ACADEMIA DE ESTRELLAS"
"057840","RICHLAND COLLEGIATE HIGH SCHOOL"
"057841","CITYSCAPE SCHOOLS"
"057844","MANARA ACADEMY"
"057845","UME PREPARATORY ACADEMY"
"057846","LEGACY PREPARATORY"
"057847","VILLAGE TECH SCHOOLS"
"057848","INTERNATIONAL LEADERSHIP OF TEXAS"
"057849","TRINITY ENVIRONMENTAL ACADEMY"
"057903","CARROLLTON-FARMERS BRANCH ISD"
"057904","CEDAR HILL ISD"
"057905","DALLAS ISD"
"057906","DESOTO ISD"
"057907","DUNCANVILLE ISD"
"057909","GARLAND ISD"
"057910","GRAND PRAIRIE ISD"
"057911","HIGHLAND PARK ISD"
