CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
"057829001","R","A+ ACADEMY","Y","DALLAS","057","A","A+ ACADEMY","PK - 12","B"," "," ","10"
"109901001","UVEWS","ABBOTT SCHOOL","N","HILL","109","R","ABBOTT ISD","PK - 12","B"," "," ","12"
"095901003"," ","ABERNATHY DAEP","N","HALE","095","X","ABERNATHY ISD","09 - 09","S"," "," ","17"
"095901101","N","ABERNATHY EL","N","HALE","095","R","ABERNATHY ISD","PK - 05","E"," "," ","17"
"095901001","ARUVZ","ABERNATHY H S","N","HALE","095","A","ABERNATHY ISD","09 - 12","S"," "," ","17"
"095901041","AW","ABERNATHY J H","N","HALE","095","A","ABERNATHY ISD","06 - 08","M"," "," ","17"
"221901001"," ","ABILENE H S","N","TAYLOR","221","A","ABILENE ISD","09 - 12","S"," "," ","14"
"221901142"," ","ABILENE PSYCHIATRIC INSTITUTE","N","TAYLOR","221","X","ABILENE ISD","07 - 12","S"," "," ","14"
"221901129"," ","ABILENE STATE SCH","N","TAYLOR","221","X","ABILENE ISD","07 - 12","S"," "," ","14"
"221901102","EWMN","AUSTIN EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901153","EWMN","BASSETTI EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901103","WM","BONHAM EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901104","N","BOWIE EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901047","EWSX","CLACK MIDDLE","N","TAYLOR","221","R","ABILENE ISD","06 - 08","M"," "," ","14"
"221901106","N","COLLEGE HEIGHTS EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901002"," ","COOPER H S","N","TAYLOR","221","A","ABILENE ISD","09 - 12","S"," "," ","14"
"221901208"," ","DAY NURSERY OF ABILENE","N","TAYLOR","221","X","ABILENE ISD","PK - PK","E"," "," ","14"
"221901108","EWMN","DYESS EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901110","M","FANNIN EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901041","S","FRANKLIN MIDDLE","N","TAYLOR","221","A","ABILENE ISD","06 - 08","M"," "," ","14"
"221901200"," ","HARMONY FAMILY SERVICES","N","TAYLOR","221","X","ABILENE ISD","06 - 12","B"," "," ","14"
"221901124"," ","HOUSTON STUDENT ACH CTR","N","TAYLOR","221","X","ABILENE ISD","01 - 10","B"," "," ","14"
"221901112","WN","JACKSON EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901113","EWM","JOHNSTON EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901008"," ","JUVENILE DETENTION CENTER","N","TAYLOR","221","1","ABILENE ISD","06 - 11","B"," "," ","14"
"221901116"," ","LEE EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901043","E","LINCOLN MIDDLE","N","TAYLOR","221","A","ABILENE ISD","06 - 08","M"," "," ","14"
"221901117"," ","LOCUST ECC","N","TAYLOR","221","X","ABILENE ISD","EE - PK","E"," "," ","14"
"221901118","M","LONG EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901044","EWS","MADISON MIDDLE","N","TAYLOR","221","A","ABILENE ISD","06 - 08","M"," "," ","14"
"221901045","ES","MANN MIDDLE","N","TAYLOR","221","A","ABILENE ISD","06 - 08","M"," "," ","14"
"221901152","WMN","ORTIZ EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901120","W","REAGAN EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901127"," ","SP ED HOMEBOUND","N","TAYLOR","221","X","ABILENE ISD","02 - 11","B"," "," ","14"
"221901128"," ","SP ED O J T","N","TAYLOR","221","X","ABILENE ISD","EE - EE","E"," "," ","14"
"221901007"," ","TAYLOR COUNTY LEARNING CENTER","N","TAYLOR","221","X","ABILENE ISD","06 - 10","B"," "," ","14"
"221901121","EWMN","TAYLOR EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901151","N","THOMAS EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901006"," ","TRAVIS OPPORTUNITY CTR","N","TAYLOR","221","X","ABILENE ISD","07 - 11","S"," "," ","14"
"221901150","EWMN","WARD EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901003"," ","WOODSON CENTER FOR EXCELLENCE","N","TAYLOR","221","1","ABILENE ISD","09 - 12","S"," "," ","14"
"221901125"," ","WOODSON ECC","N","TAYLOR","221","X","ABILENE ISD","EE - PK","E"," "," ","14"
"014901101","MX","ACADEMY EL","N","BELL","014","R","ACADEMY ISD","PK - 04","E"," "," ","12"
"014901001","UVS","ACADEMY H S","N","BELL","014","A","ACADEMY ISD","09 - 12","S"," "," ","12"
"014901041","EWMNSZ","ACADEMY J H","N","BELL","014","R","ACADEMY ISD","05 - 08","M"," "," ","12"
"101810002"," ","ACADEMY OF ACCELERATED LEARNING","Y","HARRIS","101","A","ACADEMY OF ACCELERATED LEARNING IN","PK - 05","E"," "," ","04"
"123801101"," ","ACADEMY OF BEAUMONT","Y","JEFFERSON","123","L","ACADEMY OF BEAUMONT","PK - 08","E"," "," ","05"
"015816001"," ","ACADEMY OF CAREERS AND TECHNOLOGI","Y","BEXAR","015","1","ACADEMY OF CAREERS AND TECHNOLOGIE","09 - 12","S"," "," ","20"
"057810101"," ","ACADEMY OF DALLAS","Y","DALLAS","057","L","ACADEMY OF DALLAS","PK - 08","E"," "," ","10"
"101849101"," ","ACCELERATED INTERDISCIPLINARY ACA","Y","HARRIS","101","A","ACCELERATED INTERMEDIATE ACADEMY","PK - 05","E"," "," ","04"
"101849102","A","ACCELERATED INTERDISCIPLINARY ACA","Y","HARRIS","101","A","ACCELERATED INTERMEDIATE ACADEMY","PK - 05","E"," "," ","04"
"101849042"," ","ACCELERATED INTERMEDIATE ACADEMY","Y","HARRIS","101","X","ACCELERATED INTERMEDIATE ACADEMY","06 - 06","M"," "," ","04"
"101849041","S","ACCELERATED INTERMEDIATE CHARTER","Y","HARRIS","101","R","ACCELERATED INTERMEDIATE ACADEMY","06 - 08","M"," "," ","04"
"180903001","REW","ADRIAN SCHOOL","N","OLDHAM","180","A","ADRIAN ISD","PK - 12","B"," "," ","16"
"178901101","Y","AGUA DULCE ELEMENTARY SCHOOL","N","NUECES","178","A","AGUA DULCE ISD","PK - 05","E"," "," ","02"
"178901001","RV","AGUA DULCE H S","N","NUECES","178","A","AGUA DULCE ISD","06 - 12","B"," "," ","02"
"015901001","PUVSZ","ALAMO HEIGHTS H S","N","BEXAR","015","A","ALAMO HEIGHTS ISD","09 - 12","S"," "," ","20"
"015901041","ESY","ALAMO HEIGHTS J H","N","BEXAR","015","A","ALAMO HEIGHTS ISD","06 - 08","M"," "," ","20"
"015901002"," ","BEXAR CO J J A E P","N","BEXAR","015","X","ALAMO HEIGHTS ISD","09 - 09","S"," "," ","20"
"015901101","W","CAMBRIDGE EL","N","BEXAR","015","R","ALAMO HEIGHTS ISD","01 - 05","E"," "," ","20"
"015901102"," ","HOWARD EL","N","BEXAR","015","X","ALAMO HEIGHTS ISD","EE - KG","E"," "," ","20"
"015901104","EWMNY","WOODRIDGE EL","N","BEXAR","015","A","ALAMO HEIGHTS ISD","01 - 05","E"," "," ","20"
"250906101","EMNX","ALBA-GOLDEN EL","N","WOOD","250","R","ALBA-GOLDEN ISD","PK - 05","E"," "," ","07"
"250906001","UVEWSX","ALBA-GOLDEN H S","N","WOOD","250","A","ALBA-GOLDEN ISD","06 - 12","B"," "," ","07"
"250906002"," ","ALTER SCHOOL","N","WOOD","250","1","ALBA-GOLDEN ISD","11 - 12","S"," "," ","07"
"209901001","ARVW","ALBANY JR-SR H S","N","SHACKELFORD","209","A","ALBANY ISD","07 - 12","S"," "," ","14"
"209901101","EWMNY","NANCY SMITH EL","N","SHACKELFORD","209","E","ALBANY ISD","EE - 06","E"," "," ","14"
"101902130","E","ALDINE ELEMENTARY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902001"," ","ALDINE HIGH SCHOOL","N","HARRIS","101","A","ALDINE ISD","09 - 12","S"," "," ","04"
"101902099"," ","ALDINE J J A E P","N","HARRIS","101","X","ALDINE ISD","06 - 11","B"," "," ","04"
"101902041","X","ALDINE MIDDLE","N","HARRIS","101","R","ALDINE ISD","07 - 08","M"," "," ","04"
"101902081","Y","ALDINE NINTH GRADE SCHOOL","N","HARRIS","101","A","ALDINE ISD","09 - 09","S"," "," ","04"
"101902101","AEM","ANDERSON ACADEMY","N","HARRIS","101","E","ALDINE ISD","01 - 03","E"," "," ","04"
"101902102","A","BETHUNE ACADEMY","N","HARRIS","101","A","ALDINE ISD","03 - 04","E"," "," ","04"
"101902126","EWMZ","BLACK ELEMENTARY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902131","M","BUSSEY ELEMENTARY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902128","WX","CALVERT ELEMENTARY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902066","Z","CARAWAY INTERMEDIATE","N","HARRIS","101","A","ALDINE ISD","05 - 06","M"," "," ","04"
"101902122","AX","CARMICHAEL ELEMENTARY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902103","EY","CARROLL ACADEMY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902107"," ","CARTER ACADEMY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902002","RUVS","CARVER H S  FOR APPLIED TECH/ENGI","N","HARRIS","101","R","ALDINE ISD","09 - 12","S"," "," ","04"
"101902123","X","CONLEY ELEMENTARY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902155"," ","DE SANTIAGO EC/PRE-K CENTER","N","HARRIS","101","X","ALDINE ISD","EE - PK","E"," "," ","04"
"101902042","AEWSX","DREW ACADEMY","N","HARRIS","101","R","ALDINE ISD","07 - 08","M"," "," ","04"
"101902124","Y","DUNN ELEMENTARY","N","HARRIS","101","A","ALDINE ISD","KG - 04","E"," "," ","04"
"101902061","Z","ECKERT INTERMEDIATE","N","HARRIS","101","A","ALDINE ISD","05 - 06","M"," "," ","04"
"101902004","R","EISENHOWER HIGH SCHOOL","N","HARRIS","101","A","ALDINE ISD","09 - 12","S"," "," ","04"
"101902084"," ","EISENHOWER NINTH GRADE SCHOOL","N","HARRIS","101","L","ALDINE ISD","09 - 09","S"," "," ","04"
"101902121","WZ","ERMEL ELEMENTARY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902063","EMNZ","ESCAMILLA INTERMEDIATE","N","HARRIS","101","R","ALDINE ISD","05 - 06","M"," "," ","04"
"101902105","MX","FRANCIS ELEMENTARY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902106","Z","GOODMAN ELEMENTARY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902048","WS","GRANTHAM ACADEMY","N","HARRIS","101","R","ALDINE ISD","07 - 08","M"," "," ","04"
"101902125","W","GRAY ELEMENTARY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902007"," ","HALL ACADEMY","N","HARRIS","101","2","ALDINE ISD","09 - 10","S"," "," ","04"
"101902006"," ","HALL HIGH SCHOOL","N","HARRIS","101","1","ALDINE ISD","09 - 12","S"," "," ","04"
"101902043","EWSX","HAMBRICK MIDDLE","N","HARRIS","101","R","ALDINE ISD","07 - 08","M"," "," ","04"
"101902129","EM","HARRIS ACADEMY","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902069","EZ","HILL INTERMEDIATE","N","HARRIS","101","A","ALDINE ISD","05 - 06","M"," "," ","04"
"101902153"," ","HINOJOSA EC/PRE-K CENTER","N","HARRIS","101","X","ALDINE ISD","EE - PK","E"," "," ","04"
"101902046","X","HOFFMAN MIDDLE","N","HARRIS","101","A","ALDINE ISD","07 - 08","M"," "," ","04"
"101902062","AEMZ","HOUSTON ACADEMY","N","HARRIS","101","R","ALDINE ISD","05 - 06","M"," "," ","04"
"101902116"," ","JOHNSON ELEMENTARY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902151"," ","KEEBLE EC/PRE-K CENTER","N","HARRIS","101","X","ALDINE ISD","EE - PK","E"," "," ","04"
