CAMPUS,C20GR14N,C20GR14R,C30GR14N,C30GR14R,C40GR14N,C40GR14R,CA0GF14N,CA0GF14P,CA0GH14N,CA0GH14P,CA0GM14N,CA0GM14P,CA0GR14N,CA0GR14R,CB0GR14N,CB0GR14R,CH0GR14N,CH0GR14R,CI0GR14N,CI0GR14R,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETASIC,CPETASIP,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETNEDC,CPETNEDP,CPETPCIC,CPETPCIP,CPETRSKC,CPETRSKP,CPETSPEC,CPETSPEP,CPETTWOC,CPETTWOP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR14N,CS0GR14R,CW0GR14N,CW0GR14R
"001902001",2,6.1,0,0,0,0,0,0,30,90.9,3,9.1,33,100,2,6.1,3,9.1,0,0,20,9.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,206,3,1.5,1,0.5,15,7.3,3,1.4,62,30.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,22.3,54,26.2,46,22.3,60,29.1,0,0,27,13.1,0,0,0,0,9,4.4,0,0,1,0.5,144,69.9,0,0,91,44.2,37,18,6,2.9,144,69.9,173,84,6,18.2,26,78.8
"001902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,15.2,.,.,.,.,.,0,2.4,0,.,.,.,.,.,.,0,0,0,.,120,0,0,0,0,5,4.2,1,0.7,47,39.2,0,0,0,0,0,0,0,0,0,0,39,32.5,32,26.7,49,40.8,0,0,0,0,0,0,0,0,0,0,15,12.5,0,0,0,0,8,6.7,0,0,0,0,73,60.8,0,0,39,32.5,16,13.3,10,8.3,37,30.8,97,80.8,.,.,.,.
"001902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,15.2,10.8,0,0,0,0,.,.,.,2.8,0,0,100,0,0,.,.,.,20,251,0,0,0,0,7,2.8,0,0,101,40.2,43,17.1,35,13.9,38,15.1,35,13.9,41,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,18,7.2,44,17.5,14,5.6,20,8,0,0,0,0,150,59.8,0,0,76,30.3,23,9.2,16,6.4,0,0,208,82.9,.,.,.,.
"001903001",2,2.8,1,1.4,0,0,0,0,58,80.6,14,19.4,72,100,1,1.4,5,6.9,0,0,51,13.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,355,6,1.7,0,0,13,3.7,5,1.3,158,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,26.5,104,29.3,83,23.4,74,20.8,0,0,23,6.5,0,0,0,0,24,6.8,1,0.3,0,0,197,55.5,0,0,75,21.1,33,9.3,12,3.4,273,76.9,299,84.2,6,8.3,63,87.5
"001903002",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100,1,100,0,0,0,0,.,.,.,.
"001903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,10.9,.,.,.,.,.,1,0,2.6,.,.,.,.,.,.,0,0,0,.,304,2,0.7,0,0,16,5.3,0,0,161,53,0,0,0,0,0,0,0,0,0,0,105,34.5,106,34.9,93,30.6,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,24,7.9,0,0,0,0,143,47,2,0.7,121,39.8,36,11.8,11,3.6,0,0,249,81.9,.,.,.,.
"001903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,15,4.9,3.4,.,.,.,.,.,.,7.1,18.2,0,.,.,.,.,.,.,42.9,301,1,0.3,10,3.3,20,6.6,0,0,187,62.1,70,23.3,71,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,109,36.2,51,16.9,32,10.6,0,0,10,3.3,114,37.9,0,0,111,36.9,29,9.6,8,2.7,0,0,240,79.7,.,.,.,.
"001903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,13.7,.,.,0,0,2.3,.,.,.,.,.,.,0,0,7.1,.,.,.,.,256,4,1.6,6,2.3,15,5.9,0,0,141,55.1,0,0,0,0,77,30.1,91,35.5,88,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4.7,0,0,0,0,28,10.9,0,0,6,2.3,115,44.9,0,0,98,38.3,27,10.5,6,2.3,0,0,203,79.3,.,.,.,.
"001904001",1,1.8,0,0,0,0,0,0,48,84.2,9,15.8,57,100,10,17.5,3,5.3,1,1.8,47,18.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,223,1,0.4,1,0.4,34,15.2,7,2.7,119,53.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,30.5,55,24.7,58,26,42,18.8,0,0,18,8.1,0,0,0,0,26,11.7,2,0.9,1,0.4,104,46.6,0,0,107,48,28,12.6,5,2.2,213,95.5,155,69.5,12,21.1,42,73.7
"001904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,13.6,.,.,.,.,.,0,1.8,1.6,.,.,.,.,.,.,0,0,0,.,173,0,0,3,1.7,13,7.5,2,1,87,50.3,0,0,0,0,0,0,0,0,0,0,44,25.4,61,35.3,68,39.3,0,0,0,0,0,0,0,0,0,0,5,2.9,0,0,0,0,19,11,1,0.6,3,1.7,86,49.7,0,0,59,34.1,16,9.2,4,2.3,0,0,136,78.6,.,.,.,.
