CAMPUS,CAMPNAME,CFLALTED,CFLCHART,CNTYNAME,COUNTY,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION,REGNNAME
"001902001","CAYUGA H S","N","N","ANDERSON","001","CAYUGA ISD","001902","09 - 12","S"," "," ","07","REGION 07: KILGORE"
"001902041","CAYUGA MIDDLE","N","N","ANDERSON","001","CAYUGA ISD","001902","06 - 08","M"," "," ","07","REGION 07: KILGORE"
"001902103","CAYUGA EL","N","N","ANDERSON","001","CAYUGA ISD","001902","EE - 05","E"," "," ","07","REGION 07: KILGORE"
"001903001","ELKHART H S","N","N","ANDERSON","001","ELKHART ISD","001903","09 - 12","S"," "," ","07","REGION 07: KILGORE"
"001903041","ELKHART MIDDLE","N","N","ANDERSON","001","ELKHART ISD","001903","06 - 08","M"," "," ","07","REGION 07: KILGORE"
"001903101","ELKHART EL","N","N","ANDERSON","001","ELKHART ISD","001903","EE - 02","E","001903102","ELKHART INT","07","REGION 07: KILGORE"
"001903102","ELKHART INT","N","N","ANDERSON","001","ELKHART ISD","001903","03 - 05","E"," "," ","07","REGION 07: KILGORE"
"001904001","FRANKSTON H S","N","N","ANDERSON","001","FRANKSTON ISD","001904","09 - 12","S"," "," ","07","REGION 07: KILGORE"
"001904041","FRANKSTON MIDDLE","N","N","ANDERSON","001","FRANKSTON ISD","001904","06 - 08","M"," "," ","07","REGION 07: KILGORE"
"001904102","FRANKSTON EL","N","N","ANDERSON","001","FRANKSTON ISD","001904","EE - 05","E"," "," ","07","REGION 07: KILGORE"
"001906002","NECHES H S","N","N","ANDERSON","001","NECHES ISD","001906","09 - 12","S"," "," ","07","REGION 07: KILGORE"
"001906040","NECHES DAEP","N","N","ANDERSON","001","NECHES ISD","001906","11 - 11","S"," "," ","07","REGION 07: KILGORE"
"001906102","NECHES EL","N","N","ANDERSON","001","NECHES ISD","001906","EE - 08","E"," "," ","07","REGION 07: KILGORE"
"001907001","PALESTINE H S","N","N","ANDERSON","001","PALESTINE ISD","001907","09 - 12","S"," "," ","07","REGION 07: KILGORE"
"001907041","PALESTINE J H","N","N","ANDERSON","001","PALESTINE ISD","001907","07 - 08","M"," "," ","07","REGION 07: KILGORE"
"001907101","NORTHSIDE PRI","N","N","ANDERSON","001","PALESTINE ISD","001907","PK - 01","E","001907107","SOUTHSIDE EL","07","REGION 07: KILGORE"
"001907102","WASHINGTON EARLY CHILDHOOD CENTER","N","N","ANDERSON","001","PALESTINE ISD","001907","EE - PK","E","001907107","SOUTHSIDE EL","07","REGION 07: KILGORE"
"001907107","SOUTHSIDE EL","N","N","ANDERSON","001","PALESTINE ISD","001907","02 - 03","E"," "," ","07","REGION 07: KILGORE"
"001907110","STORY INT","N","N","ANDERSON","001","PALESTINE ISD","001907","04 - 06","E"," "," ","07","REGION 07: KILGORE"
"001908002","WESTWOOD H S","N","N","ANDERSON","001","WESTWOOD ISD","001908","09 - 12","S"," "," ","07","REGION 07: KILGORE"
"001908041","WESTWOOD J H","N","N","ANDERSON","001","WESTWOOD ISD","001908","07 - 08","M"," "," ","07","REGION 07: KILGORE"
"001908101","WESTWOOD EL","N","N","ANDERSON","001","WESTWOOD ISD","001908","03 - 06","E"," "," ","07","REGION 07: KILGORE"
"001908102","WESTWOOD PRI","N","N","ANDERSON","001","WESTWOOD ISD","001908","EE - 02","E","001908101","WESTWOOD EL","07","REGION 07: KILGORE"
"001909001","SLOCUM H S","N","N","ANDERSON","001","SLOCUM ISD","001909","09 - 12","S"," "," ","07","REGION 07: KILGORE"
"001909101","SLOCUM PK - 8","N","N","ANDERSON","001","SLOCUM ISD","001909","PK - 08","E"," "," ","07","REGION 07: KILGORE"
"002901001","ANDREWS H S","N","N","ANDREWS","002","ANDREWS ISD","002901","09 - 12","S"," "," ","18","REGION 18: MIDLAND"
"002901002","ANDREWS EDUCATION CENTER","Y","N","ANDREWS","002","ANDREWS ISD","002901","09 - 12","S"," "," ","18","REGION 18: MIDLAND"
"002901041","ANDREWS MIDDLE","N","N","ANDREWS","002","ANDREWS ISD","002901","06 - 08","M"," "," ","18","REGION 18: MIDLAND"
"002901101","DEVONIAN EL","N","N","ANDREWS","002","ANDREWS ISD","002901","02 - 03","E"," "," ","18","REGION 18: MIDLAND"
"002901104","UNDERWOOD EL","N","N","ANDREWS","002","ANDREWS ISD","002901","04 - 05","E"," "," ","18","REGION 18: MIDLAND"
"002901105","CLEARFORK EL","N","N","ANDREWS","002","ANDREWS ISD","002901","EE - 01","E","002901101","DEVONIAN EL","18","REGION 18: MIDLAND"
"003801001","PINEYWOODS COMMUNITY ACADEMY H S","N","Y","ANGELINA","003","PINEYWOODS COMMUNITY ACADEMY","003801","07 - 12","S"," "," ","07","REGION 07: KILGORE"
"003801103","PINEYWOODS COMMUNITY ACADEMY EL","N","Y","ANGELINA","003","PINEYWOODS COMMUNITY ACADEMY","003801","PK - 07","E"," "," ","07","REGION 07: KILGORE"
"003902001","HUDSON H S","N","N","ANGELINA","003","HUDSON ISD","003902","09 - 12","S"," "," ","07","REGION 07: KILGORE"
"003902004","STUBBLEFIELD LRN CTR","Y","N","ANGELINA","003","HUDSON ISD","003902","11 - 12","S"," "," ","07","REGION 07: KILGORE"
"003902041","HUDSON MIDDLE","N","N","ANGELINA","003","HUDSON ISD","003902","06 - 08","M"," "," ","07","REGION 07: KILGORE"
"003902101","W F PEAVY PRI","N","N","ANGELINA","003","HUDSON ISD","003902","EE - 02","E","003902102","W H BONNER EL","07","REGION 07: KILGORE"
"003902102","W H BONNER EL","N","N","ANGELINA","003","HUDSON ISD","003902","03 - 05","E"," "," ","07","REGION 07: KILGORE"
"003903001","LUFKIN H S","N","N","ANGELINA","003","LUFKIN ISD","003903","09 - 12","S"," "," ","07","REGION 07: KILGORE"
"003903004","STUBBLEFIELD LRN CTR","Y","N","ANGELINA","003","LUFKIN ISD","003903","09 - 12","S"," "," ","07","REGION 07: KILGORE"
