DISTNAME,CAMPNAME,CAMPUS,CLASS
ABBOTT ISD,ABBOTT SCHOOL,109901001,Both Elem/Sec
ABERNATHY ISD,ABERNATHY EL,95901101,Elementary
ABERNATHY ISD,ABERNATHY H S,95901001,Secondary
ABERNATHY ISD,ABERNATHY MIDDLE,95901041,Middle
ABILENE ISD,ABILENE H S,221901001,Secondary
ABILENE ISD,ABILENE STATE SCH,221901129,Secondary
ABILENE ISD,ADULT LEARNING CTR,221901004,Secondary
ABILENE ISD,ALTA VISTA EL,221901101,Elementary
ABILENE ISD,AUSTIN EL,221901102,Elementary
ABILENE ISD,BASSETTI EL,221901153,Elementary
ABILENE ISD,BONHAM EL,221901103,Elementary
ABILENE ISD,BOWIE EL,221901104,Elementary
ABILENE ISD,CLACK MIDDLE,221901047,Middle
ABILENE ISD,COLLEGE HEIGHTS EL,221901106,Elementary
ABILENE ISD,COOPER H S,221901002,Secondary
ABILENE ISD,CROCKETT EL,221901107,Elementary
ABILENE ISD,DYESS EL,221901108,Elementary
ABILENE ISD,EXCEL ALTER H S,221901003,Secondary
ABILENE ISD,FANNIN EL,221901110,Elementary
ABILENE ISD,FRANKLIN MIDDLE,221901041,Middle
ABILENE ISD,HOUSTON STUDENT ACH CTR,221901124,Both Elem/Sec
ABILENE ISD,JACKSON EL,221901112,Elementary
ABILENE ISD,JEFFERSON MIDDLE,221901042,Middle
ABILENE ISD,JOHNSTON EL,221901113,Elementary
ABILENE ISD,JONES EL,221901114,Elementary
ABILENE ISD,LACY SCH,221901139,Secondary
ABILENE ISD,LEE EL,221901116,Elementary
ABILENE ISD,LILLY SMITH FARMER CTR,221901141,Both Elem/Sec
ABILENE ISD,LINCOLN MIDDLE,221901043,Middle
ABILENE ISD,LOCUST PRE-K,221901117,Elementary
ABILENE ISD,LONG EL,221901118,Elementary
ABILENE ISD,MADISON MIDDLE,221901044,Middle
ABILENE ISD,MANN MIDDLE,221901045,Middle
ABILENE ISD,ORTIZ EL,221901152,Elementary
ABILENE ISD,REAGAN EL,221901120,Elementary
ABILENE ISD,SCHOOL AGE MOTHERS,221901122,Secondary
ABILENE ISD,SP ED HOMEBOUND,221901127,Both Elem/Sec
ABILENE ISD,SP ED O J T,221901128,Both Elem/Sec
ABILENE ISD,TAYLOR EL,221901121,Elementary
ABILENE ISD,THOMAS EL,221901151,Elementary
ABILENE ISD,VALLEY VIEW EL,221901123,Elementary
ABILENE ISD,WARD EL,221901150,Elementary
ABILENE ISD,WOODS PHY INST,221901130,Both Elem/Sec
ABILENE ISD,WOODSON PRE-K,221901125,Elementary
ABILENE ISD,WOODSON PROJECT PASS,221901046,Middle
ABILENE ISD,WOODSON SKILL CTR,221901126,Middle
ACADEMY ISD,ACADEMY EL,14901101,Elementary
ACADEMY ISD,ACADEMY H S,14901001,Secondary
ACADEMY ISD,ACADEMY J H,14901041,Middle
ADRIAN ISD,ADRIAN SCHOOL,180903001,Both Elem/Sec
AGUA DULCE ISD,AGUA DULCE EL,178901101,Elementary
AGUA DULCE ISD,AGUA DULCE H S,178901001,Both Elem/Sec
ALAMO HEIGHTS ISD,ALAMO HEIGHTS H S,15901001,Secondary
ALAMO HEIGHTS ISD,ALAMO HEIGHTS J H,15901041,Middle
ALAMO HEIGHTS ISD,CAMBRIDGE EL,15901101,Elementary
ALAMO HEIGHTS ISD,HOWARD EL,15901102,Elementary
ALAMO HEIGHTS ISD,WOODRIDGE EL,15901104,Elementary
ALBA-GOLDEN ISD,ALBA-GOLDEN EL,250906101,Elementary
ALBA-GOLDEN ISD,ALBA-GOLDEN H S,250906001,Secondary
ALBA-GOLDEN ISD,ALTER SCHOOL,250906002,Secondary
ALBANY ISD,ALBANY JR-SR H S,209901001,Secondary
ALBANY ISD,NANCY SMITH EL,209901101,Elementary
ALDINE ISD,ALDINE H S,101902001,Secondary
ALDINE ISD,ALDINE MIDDLE,101902041,Middle
ALDINE ISD,ANDERSON ACAD,101902101,Elementary
ALDINE ISD,BETHUNE ACAD,101902102,Elementary
ALDINE ISD,BLACK EL,101902126,Elementary
ALDINE ISD,CALVERT EL,101902128,Elementary
ALDINE ISD,CARAWAY INT,101902066,Middle
ALDINE ISD,CARMICHAEL EL,101902122,Elementary
ALDINE ISD,CARROLL EL,101902103,Elementary
ALDINE ISD,CARVER CONTEMP H S,101902002,Secondary
ALDINE ISD,CHESTER W NIMITZ H S,101902005,Secondary
ALDINE ISD,COLONIAL HILLS EL,101902115,Elementary
ALDINE ISD,CONLEY EL,101902123,Elementary
ALDINE ISD,DREW ACAD,101902042,Elementary
ALDINE ISD,DUNN EL,101902124,Elementary
ALDINE ISD,ECKERT INT,101902061,Middle
ALDINE ISD,EISENHOWER H S,101902004,Secondary
ALDINE ISD,ERMEL EL,101902121,Elementary
ALDINE ISD,ESCAMILLA INT,101902063,Middle
ALDINE ISD,EVELYN S THOMPSON EL,101902117,Elementary
ALDINE ISD,FRANCIS EL,101902105,Elementary
ALDINE ISD,GRAY EL,101902125,Elementary
