CAMPUS,CPETECOP,CPETECOC,CPETBILC,CPETALLC,CPETINDC,CPETPACC,CPETBLAC,CPETHISC,CPETWHIC,CPETWHIP,CPETBLAP,CPETHISP,CPETINDP,CPETPACP,CPETBILP
1902001,15.5,32,0,206,2,1,21,4,178,86.4,10.2,1.9,1,0.5,0
1902041,18.2,28,0,154,1,1,12,8,132,85.7,7.8,5.2,0.6,0.6,0
1902103,26.1,73,0,280,0,0,46,6,228,81.4,16.4,2.1,0,0,0
1903001,25.3,116,0,459,1,0,38,7,413,90,8.3,1.5,0.2,0,0
1903101,49.7,311,1,626,0,0,47,17,562,89.8,7.5,2.7,0,0,0.2
1904001,22.5,50,0,222,0,2,25,3,192,86.5,11.3,1.4,0,0.9,0
1904041,42.4,87,0,205,0,0,26,4,175,85.4,12.7,2,0,0,0
1904102,50.6,179,6,354,0,6,44,13,291,82.2,12.4,3.7,0,1.7,1.7
1906002,23.6,35,0,148,0,0,21,0,127,85.8,14.2,0,0,0,0
1906102,44.7,76,0,170,0,0,19,5,146,85.9,11.2,2.9,0,0,0
1907001,29.7,308,25,1036,1,4,320,139,572,55.2,30.9,13.4,0.1,0.4,2.4
1907002,0,0,0,49,1,0,12,11,25,51,24.5,22.4,2,0,0
1907041,48.5,274,16,565,1,1,201,73,289,51.2,35.6,12.9,0.2,0.2,2.8
1907042,55.7,177,13,318,0,1,102,53,162,50.9,32.1,16.7,0,0.3,4.1
1907101,62.2,253,95,407,0,2,80,127,198,48.6,19.7,31.2,0,0.5,23.3
1907104,43.9,54,0,123,0,1,37,4,81,65.9,30.1,3.3,0,0.8,0
1907107,59.8,152,0,254,0,2,99,21,132,52,39,8.3,0,0.8,0
1907108,79.8,134,0,168,0,0,76,39,53,31.5,45.2,23.2,0,0,0
1907110,58,515,44,888,0,4,300,149,435,49,33.8,16.8,0,0.5,5
1908002,10.9,53,0,486,1,1,71,15,398,81.9,14.6,3.1,0.2,0.2,0
1908041,25.9,74,0,286,1,0,43,13,229,80.1,15,4.5,0.3,0,0
