DISTRICT,DISTNAME
"057816","A W BROWN-FELLOWSHIP LEADERSHIP AC"
"057829","A+ ACADEMY"
"109901","ABBOTT ISD"
"095901","ABERNATHY ISD"
"221901","ABILENE ISD"
"014901","ACADEMY ISD"
"101810","ACADEMY OF ACCELERATED LEARNING IN"
"015816","ACADEMY OF CAREERS AND TECHNOLOGIE"
"057810","ACADEMY OF DALLAS"
"101849","ACCELERATED INTERMEDIATE ACADEMY"
"180903","ADRIAN ISD"
"057806","ADVANTAGE ACADEMY"
"178901","AGUA DULCE ISD"
"015901","ALAMO HEIGHTS ISD"
"250906","ALBA-GOLDEN ISD"
"209901","ALBANY ISD"
"101902","ALDINE ISD"
"184907","ALEDO ISD"
"125901","ALICE ISD"
"101903","ALIEF ISD"
"101815","ALIEF MONTESSORI COMMUNITY SCHOOL"
"043901","ALLEN ISD"
"057832","ALPHA CHARTER SCHOOL"
"022901","ALPINE ISD"
"037901","ALTO ISD"
"126901","ALVARADO ISD"
"020901","ALVIN ISD"
"249901","ALVORD ISD"
"188901","AMARILLO ISD"
"084804","AMBASSADORS PREPARATORY ACADEMY"
"227801","AMERICAN YOUTHWORKS CHARTER SCHOOL"
"140901","AMHERST ISD"
"101819","AMIGOS POR VIDA-FRIENDS FOR LIFE P"
"036901","ANAHUAC ISD"
"093901","ANDERSON-SHIRO CISD"
"002901","ANDREWS ISD"
"020902","ANGLETON ISD"
"043902","ANNA ISD"
"127901","ANSON ISD"
"071906","ANTHONY ISD"
"110901","ANTON ISD"
"228905","APPLE SPRINGS ISD"
"109912","AQUILLA ISD"
"004901","ARANSAS COUNTY ISD"
"205901","ARANSAS PASS ISD"
"005901","ARCHER CITY ISD"
"061910","ARGYLE ISD"
"101803","ARISTOI CLASSICAL ACADEMY"
"220802","ARLINGTON CLASSICS ACADEMY"
"220901","ARLINGTON ISD"
"212901","ARP ISD"
"021805","ARROW ACADEMY"
"217901","ASPERMONT ISD"
"107901","ATHENS ISD"
"034901","ATLANTA ISD"
"061907","AUBREY ISD"
"227818","AUSTIN CAN ACADEMY CHARTER SCHOOL"
"227821","AUSTIN DISCOVERY SCHOOL"
"227901","AUSTIN ISD"
"196901","AUSTWELL-TIVOLI ISD"
"070901","AVALON ISD"
"194902","AVERY ISD"
"034902","AVINGER ISD"
"161918","AXTELL ISD"
"220915","AZLE ISD"
"212803","AZLEWAY CHARTER SCHOOL"
"030903","BAIRD ISD"
"200901","BALLINGER ISD"
"195902","BALMORHEA ISD"
"010902","BANDERA ISD"
"025901","BANGS ISD"
"178913","BANQUETE ISD"
"036902","BARBERS HILL ISD"
"014902","BARTLETT ISD"
"011901","BASTROP ISD"
"101809","BAY AREA CHARTER INC"
"158901","BAY CITY ISD"
"101847","BEATRICE MAYES INSTITUTE CHARTER S"
"123910","BEAUMONT ISD"
"183901","BECKVILLE ISD"
"013901","BEEVILLE ISD"
"039904","BELLEVUE ISD"
"091901","BELLS ISD"
"008901","BELLVILLE ISD"
"014903","BELTON ISD"
"125902","BEN BOLT-PALITO BLANCO ISD"
"066901","BENAVIDES ISD"
"138904","BENJAMIN ISD"
"015809","BEXAR COUNTY ACADEMY"
"187901","BIG SANDY ISD"
"230901","BIG SANDY ISD"
"114901","BIG SPRING ISD"
"193801","BIG SPRINGS CHARTER SCHOOL"
"220902","BIRDVILLE ISD"
"178902","BISHOP CISD"
"177903","BLACKWELL CISD"
"016902","BLANCO ISD"
"116915","BLAND ISD"
"025904","BLANKET ISD"
"034909","BLOOMBURG ISD"
"175902","BLOOMING GROVE ISD"
"235901","BLOOMINGTON ISD"
"043917","BLUE RIDGE ISD"
"072904","BLUFF DALE ISD"
"109913","BLUM ISD"
"123807","BOB HOPE SCHOOL"
"130901","BOERNE ISD"
"116916","BOLES ISD"
"241901","BOLING ISD"
"074903","BONHAM ISD"
"148901","BOOKER ISD"
"017901","BORDEN COUNTY ISD"
"117901","BORGER ISD"
"161923","BOSQUEVILLE ISD"
"185901","BOVINA ISD"
"169901","BOWIE ISD"
"249902","BOYD ISD"
"180901","BOYS RANCH ISD"
"136901","BRACKETT ISD"
"160901","BRADY ISD"
"008903","BRAZOS ISD"
"213801","BRAZOS RIVER CHARTER SCHOOL"
"021803","BRAZOS SCHOOL FOR INQUIRY & CREATI"
"020905","BRAZOSPORT ISD"
"215901","BRECKENRIDGE ISD"
"198901","BREMOND ISD"
"239901","BRENHAM ISD"
"181901","BRIDGE CITY ISD"
"249903","BRIDGEPORT ISD"
"243801","BRIGHT IDEAS CHARTER"
"203902","BROADDUS ISD"
"184909","BROCK ISD"
"041901","BRONTE ISD"
"121902","BROOKELAND ISD"
"025908","BROOKESMITH ISD"
"015830","BROOKS ACADEMY OF SCIENCE AND ENGI"
"024901","BROOKS COUNTY ISD"
"223901","BROWNFIELD ISD"
"107902","BROWNSBORO ISD"
"031901","BROWNSVILLE ISD"
"025902","BROWNWOOD ISD"
"161919","BRUCEVILLE-EDDY ISD"
"021902","BRYAN ISD"
"119901","BRYSON ISD"
"166907","BUCKHOLTS ISD"
"186901","BUENA VISTA ISD"
"145901","BUFFALO ISD"
"212902","BULLARD ISD"
"121903","BUNA ISD"
"243901","BURKBURNETT ISD"
"176901","BURKEVILLE ISD"
"126902","BURLESON ISD"
"027903","BURNET CISD"
"071801","BURNHAM WOOD CHARTER SCHOOL DISTRI"
"239903","BURTON ISD"
"188904","BUSHLAND ISD"
"039901","BYERS ISD"
"109902","BYNUM ISD"
"116901","CADDO MILLS ISD"
"178903","CALALLEN ISD"
"026901","CALDWELL ISD"
"029901","CALHOUN COUNTY ISD"
"049905","CALLISBURG ISD"
"198902","CALVERT ISD"
"101837","CALVIN NELMS CHARTER SCHOOLS"
"166901","CAMERON ISD"
"116910","CAMPBELL ISD"
"106901","CANADIAN ISD"
"234902","CANTON ISD"
"071907","CANUTILLO ISD"
"191901","CANYON ISD"
"201913","CARLISLE ISD"
"064903","CARRIZO SPRINGS CISD"
"220919","CARROLL ISD"
"057903","CARROLLTON-FARMERS BRANCH ISD"
"183902","CARTHAGE ISD"
"220917","CASTLEBERRY ISD"
"001902","CAYUGA ISD"
"057904","CEDAR HILL ISD"
"227817","CEDARS INTERNATIONAL ACADEMY"
"116902","CELESTE ISD"
"043903","CELINA ISD"
"210901","CENTER ISD"
"133901","CENTER POINT ISD"
"145902","CENTERVILLE ISD"
"228904","CENTERVILLE ISD"
"174908","CENTRAL HEIGHTS ISD"
"003907","CENTRAL ISD"
"101905","CHANNELVIEW ISD"
"103901","CHANNING ISD"
"227814","CHAPARRAL STAR ACADEMY"
"220815","CHAPEL HILL ACADEMY"
"212909","CHAPEL HILL ISD"
"225906","CHAPEL HILL ISD"
"007901","CHARLOTTE ISD"
"206903","CHEROKEE ISD"
"229906","CHESTER ISD"
"249904","CHICO ISD"
"057811","CHILDREN FIRST ACADEMY OF DALLAS"
"038901","CHILDRESS ISD"
"099902","CHILLICOTHE ISD"
"073901","CHILTON ISD"
"161920","CHINA SPRING ISD"
"174901","CHIRENO ISD"
"139905","CHISUM ISD"
"226901","CHRISTOVAL ISD"
"067902","CISCO ISD"
"015832","CITY CENTER HEALTH CAREERS"
"243906","CITY VIEW ISD"
"065901","CLARENDON ISD"
"194904","CLARKSVILLE ISD"
"006902","CLAUDE ISD"
"084910","CLEAR CREEK ISD"
"126903","CLEBURNE ISD"
"146901","CLEVELAND ISD"
"018901","CLIFTON ISD"
"071901","CLINT ISD"
"030902","CLYDE CISD"
"114902","COAHOMA ISD"
"204901","COLDSPRING-OAKHURST CISD"
"042901","COLEMAN ISD"
"021901","COLLEGE STATION ISD"
"091902","COLLINSVILLE ISD"
"229901","COLMESNEIL ISD"
"168901","COLORADO ISD"
"020907","COLUMBIA-BRAZORIA ISD"
"045902","COLUMBUS ISD"
"046902","COMAL ISD"
"047901","COMANCHE ISD"
"130902","COMFORT ISD"
"116903","COMMERCE ISD"
"043918","COMMUNITY ISD"
"112908","COMO-PICKTON CISD"
"068802","COMPASS ACADEMY CHARTER SCHOOL"
"101842","COMQUEST ACADEMY"
"233903","COMSTOCK ISD"
"161921","CONNALLY ISD"
"170902","CONROE ISD"
"147901","COOLIDGE ISD"
"060902","COOPER ISD"
"057922","COPPELL ISD"
"050910","COPPERAS COVE ISD"
"178904","CORPUS CHRISTI ISD"
"178807","CORPUS CHRISTI MONTESSORI SCHOOL"
"187904","CORRIGAN-CAMDEN ISD"
"175903","CORSICANA ISD"
"095902","COTTON CENTER ISD"
"142901","COTULLA ISD"
"246914","COUPLAND ISD"
"109903","COVINGTON ISD"
"129901","CRANDALL ISD"
"052901","CRANE ISD"
"018908","CRANFILLS GAP ISD"
"161901","CRAWFORD ISD"
"053001","CROCKETT COUNTY CONSOLIDATED CSD"
"113901","CROCKETT ISD"
"101906","CROSBY ISD"
"054901","CROSBYTON CISD"
"030901","CROSS PLAINS ISD"
"107904","CROSS ROADS ISD"
"184801","CROSSTIMBERS ACADEMY"
"078901","CROWELL ISD"
